model,seed,epoch,train_loss,val_loss,val_auc,val_pr_auc,val_selected_threshold,val_f1,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1_at_0_5,epoch_seconds,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes
Attribute-only,20260814,1,0.274069835501372,0.17143034455709452,0.9818632330709052,0.9831767871033282,0.576,0.9378995433789954,0.9491682070240296,0.9268953068592057,0.937070938215103,0.9319831225371544,0.9385171790235082,30.499748999951407,68610048,69206016
Attribute-only,20260814,2,0.16597469605724946,0.15710768619727053,0.9848083214235558,0.9860967084723891,0.495,0.94416704493872,0.9497716894977168,0.9386281588447654,0.937070938215103,0.9378495485299342,0.943207632894139,4.841758899972774,68610048,69206016
Attribute-only,20260814,3,0.1541877412290981,0.14976911388824418,0.9863252691058992,0.9878061744022351,0.585,0.9460201280878316,0.9591836734693877,0.9332129963898917,0.9496567505720824,0.9414348734809871,0.9452240832956089,4.85185979999369,68610048,69206016
Attribute-only,20260814,4,0.14914015100691166,0.14411971993663553,0.9872252145825244,0.9885028301872664,0.581,0.9478021978021978,0.9618959107806692,0.9341155234657039,0.9530892448512586,0.9436023841584813,0.9446962828649139,4.501733699988108,68610048,69206016
Attribute-only,20260814,5,0.14596164272025972,0.14168008414729602,0.9876496294888847,0.9885090606420318,0.55,0.9472234970169803,0.9635854341736695,0.9314079422382672,0.9553775743707094,0.9433927583044883,0.9463148316651502,4.673565299948677,68610048,69206016
Attribute-only,20260814,6,0.14438583023339982,0.1398747816299371,0.9879165668448314,0.989189238533782,0.588,0.9481413492427719,0.9645191409897292,0.9323104693140795,0.9565217391304348,0.9444161042222572,0.9472727272727273,4.641073799983133,68610048,69206016
Attribute-only,20260814,7,0.14080742796268372,0.13971995367686424,0.9879573561119877,0.9890534503361352,0.53,0.9492919141160348,0.9611470860314524,0.9377256317689531,0.9519450800915332,0.9448353559302431,0.946793997271487,4.717493299976923,68610048,69206016
Attribute-only,20260814,8,0.14063419143862058,0.13818284506814632,0.9880915992697172,0.9892893169406309,0.503,0.9505668934240363,0.9553327256153145,0.9458483754512635,0.9439359267734554,0.9448921511123595,0.9492753623188406,4.882424399955198,68610048,69206016
Attribute-only,20260814,9,0.13875079116946942,0.13793947544009036,0.9882459789011062,0.9896813684970646,0.577,0.9495412844036697,0.9654850746268657,0.9341155234657039,0.9576659038901602,0.945890713677932,0.9485662266727356,4.463298000046052,68610048,69206016
Attribute-only,20260814,10,0.13829764938464278,0.13662296912974023,0.9884943287429058,0.9903558728448156,0.577,0.9496336996336996,0.9637546468401487,0.9359205776173285,0.9553775743707094,0.9456490759940189,0.9497054825555052,4.912509499990847,68610048,69206016
Attribute-only,20260814,11,0.13756551427662933,0.1371051486714073,0.9883270411155813,0.9896399831441395,0.545,0.9505041246562786,0.9655493482309124,0.9359205776173285,0.9576659038901602,0.9467932407537443,0.947992700729927,4.492802000022493,68610048,69206016
Attribute-only,20260814,12,0.13791326328403325,0.1361833815824703,0.988564548240795,0.9907357321355678,0.565,0.9494949494949495,0.9663551401869159,0.9332129963898917,0.9588100686498856,0.9460115325198887,0.9486130059117781,4.317446400003973,68610048,69206016
Attribute-only,20260814,13,0.13672617462693437,0.13648571856470268,0.9885640319209577,0.9906977764295575,0.597,0.9498850574712644,0.9681349578256795,0.9323104693140795,0.9610983981693364,0.9467044337417079,0.9486597001363016,4.7749354999978095,68610048,69206016
Attribute-only,20260814,14,0.13548088723171256,0.1345277007342167,0.9889048030136557,0.9912916514495123,0.569,0.9515096065873742,0.9647495361781077,0.9386281588447654,0.9565217391304348,0.9475749489876001,0.9496598639455782,4.588562500022817,68610048,69206016
Attribute-only,20260814,15,0.13366613090451882,0.13427835239584282,0.9889383638030881,0.99134062808095,0.561,0.9515539305301646,0.9638888888888889,0.9395306859205776,0.9553775743707094,0.9474541301456435,0.9491833030852994,4.816419099981431,68610048,69206016
Attribute-only,20260814,16,0.13432015104155048,0.13394822501018266,0.9890581500053697,0.9914845299724208,0.563,0.9514652014652014,0.9656133828996283,0.9377256317689531,0.9576659038901602,0.9476957678295566,0.9508196721311475,4.56136890000198,68610048,69206016
