dimension,value,images,seed_positive,seed_negative,with_human_box,true_peak_instances,out_fig_instances
domain_id,SELF_FRAG1_20260527,1000,443,557,621,923,0
domain_id,ST001873,2781,2046,735,2141,4195,15
domain_id,ST002135,1632,1315,317,1325,1912,26
domain_id,ST002162,2227,1009,1218,1057,1493,4
domain_id,ST002903,1082,335,747,356,501,6
domain_id,ST003127,1094,313,781,334,468,2
domain_id,ST003220,1741,1028,713,1090,2028,4
domain_id,ST003514,3686,2014,1672,2072,3763,39
domain_id,ST003792,1740,996,744,1022,1329,4
domain_id,ST003941,1610,966,644,983,1241,0
domain_id,ST004085,1224,644,580,658,962,0
