duplicate_group_id,member_count,seed_ids,old_new_batches,source_files,seed_labels,label_conflict,rule
DUP-00001,2,NEW::HARDNEGSUPP1500_20260813SUPP__PLAT__0021_MAY_ROCI-StEM_HN_575__F0001|OLD::0021_MAY_ROCI-StEM_HN_575__F2303,new_manual_negative_4500_v2_20260814|old_final_reviewed_20260725,0021_MAY_ROCI-StEM_HN_575,0,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00002,2,OLD::Blood-30V__F1019|OLD::Blood-30V__F1020,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00003,2,OLD::Blood-30V__F1066|OLD::Blood-30V__F1067,old_final_reviewed_20260725,Blood-30V,0,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00004,2,OLD::Blood-30V__F1070|OLD::Blood-30V__F1071,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00005,2,OLD::Blood-30V__F1116|OLD::Blood-30V__F1117,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00006,3,OLD::Blood-30V__F1190|OLD::Blood-30V__F1191|OLD::Blood-30V__F1192,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00007,2,OLD::Blood-30V__F1214|OLD::Blood-30V__F1215,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00008,2,OLD::Blood-30V__F1227|OLD::Blood-30V__F1228,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00009,2,OLD::Blood-30V__F1255|OLD::Blood-30V__F1256,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00010,2,OLD::Blood-30V__F1313|OLD::Blood-30V__F1314,old_final_reviewed_20260725,Blood-30V,0,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00011,2,OLD::Blood-30V__F1318|OLD::Blood-30V__F1319,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00012,2,OLD::Blood-30V__F1321|OLD::Blood-30V__F1322,old_final_reviewed_20260725,Blood-30V,0|1,True,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00013,2,OLD::Blood-30V__F1396|OLD::Blood-30V__F1397,old_final_reviewed_20260725,Blood-30V,0|1,True,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00014,2,OLD::Blood-30V__F883|OLD::Blood-30V__F884,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00015,3,OLD::Blood-30V__F931|OLD::Blood-30V__F933|OLD::Blood-30V__F934,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00016,2,OLD::Blood-30V__F983|OLD::Blood-30V__F984,old_final_reviewed_20260725,Blood-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00017,2,OLD::HepG2-30V__F1036|OLD::HepG2-30V__F1037,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00018,2,OLD::HepG2-30V__F1074|OLD::HepG2-30V__F1076,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00019,2,OLD::HepG2-30V__F1103|OLD::HepG2-30V__F1105,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00020,2,OLD::HepG2-30V__F1111|OLD::HepG2-30V__F1112,old_final_reviewed_20260725,HepG2-30V,0|1,True,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00021,2,OLD::HepG2-30V__F1152|OLD::HepG2-30V__F1153,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
