source_file,left_seed_id,left_batch,left_label,right_seed_id,right_batch,right_label,mz_ppm,rt_delta_seconds,dhash_hamming,high_similarity,label_conflict
0021_MAY_ROCI-StEM_HN_575,NEW::HARDNEGSUPP1500_20260813SUPP__PLAT__0021_MAY_ROCI-StEM_HN_575__F0001,new_manual_negative_4500_v2_20260814,0,OLD::0021_MAY_ROCI-StEM_HN_575__F2303,old_final_reviewed_20260725,0,0.0,0.5438399999999977,4,True,False
0021_MAY_ROCI-StEM_HN_575,OLD::0021_MAY_ROCI-StEM_HN_575__F3734,old_final_reviewed_20260725,0,NEW::HARDNEGSUPP1500_20260813SUPP__DOUBLE__0021_MAY_ROCI-StEM_HN_575__F0002,new_manual_negative_4500_v2_20260814,0,0.0,0.7866180000000011,6,False,False
060-0145-005_017,NEW::HARDNEGSUPP1500_20260813SUPP__PLAT__060-0145-005_017__F0002,new_manual_negative_4500_v2_20260814,0,OLD::060-0145-005_017__F1494,old_final_reviewed_20260725,0,2.002527590277154,0.013000000020042535,5,False,False
Blood-30V,OLD::Blood-30V__F883,old_final_reviewed_20260725,1,OLD::Blood-30V__F884,old_final_reviewed_20260725,1,3.987622932794113,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F931,old_final_reviewed_20260725,1,OLD::Blood-30V__F933,old_final_reviewed_20260725,1,4.33040988998164,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F933,old_final_reviewed_20260725,1,OLD::Blood-30V__F934,old_final_reviewed_20260725,1,3.861207416902329,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F983,old_final_reviewed_20260725,1,OLD::Blood-30V__F984,old_final_reviewed_20260725,1,4.100183806651819,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F1019,old_final_reviewed_20260725,1,OLD::Blood-30V__F1020,old_final_reviewed_20260725,1,3.6602618005471323,0.8800199999999592,2,True,False
Blood-30V,OLD::Blood-30V__F1066,old_final_reviewed_20260725,0,OLD::Blood-30V__F1067,old_final_reviewed_20260725,0,4.8386838102780105,0.8800000000198338,2,True,False
Blood-30V,OLD::Blood-30V__F1070,old_final_reviewed_20260725,1,OLD::Blood-30V__F1071,old_final_reviewed_20260725,1,4.15171354886513,0.8800199999999592,3,True,False
