source_file,source_mzml_name,domain_id,domain_name,definition_level,reference_workbook
0001_MAY_RoCI-StEM_CP-287,0001_MAY_RoCI-StEM_CP-287.mzML,ST002903,Identification and targeting of microbial putrescine acetylation in bloodstream infections,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
0021_MAY_ROCI-StEM_HN_575,0021_MAY_ROCI-StEM_HN_575.mzML,ST002903,Identification and targeting of microbial putrescine acetylation in bloodstream infections,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
060-0145-005_017,060-0145-005_017.mzML,ST004085,Methionine restriction alters lipid beta-oxidation and levels of lipids associated with CVD risk,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
060-0145-006_018,060-0145-006_018.mzML,ST004085,Methionine restriction alters lipid beta-oxidation and levels of lipids associated with CVD risk,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
20180321_S00033936_P,20180321_S00033936_P.mzML,ST002135,Alignment and Analysis of a Disparately Acquired Multi-Batch Metabolomics Study of Maternal Pregnancy Samples (Part 2),independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
20180323_S00033882_N,20180323_S00033882_N.mzML,ST002135,Alignment and Analysis of a Disparately Acquired Multi-Batch Metabolomics Study of Maternal Pregnancy Samples (Part 2),independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
6545A_20230727_-_57_18,6545A_20230727_-_57_18.mzML,ST003220,"Obesity, sex, and depot drive distinct lipid profiles in murine white adipose tissue",independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
6545A_20230729_+_07_9,6545A_20230729_+_07_9.mzML,ST003220,"Obesity, sex, and depot drive distinct lipid profiles in murine white adipose tissue",independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
6545_20201012_14_+_QC 01,6545_20201012_14_+_QC 01.mzML,ST002162,CFAP418 participates in membrane-associated cellular processes through binding lipids during ciliogenesis,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
6545_20201012_22_+_QC 03,6545_20201012_22_+_QC 03.mzML,ST002162,CFAP418 participates in membrane-associated cellular processes through binding lipids during ciliogenesis,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
AG-88-11_r12-,AG-88-11_r12-.mzML,ST003792,Untargeted lipidomics characterization of blood samples from patients with maple syrup urine disease,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
AG-88-11_r2+,AG-88-11_r2+.mzML,ST003792,Untargeted lipidomics characterization of blood samples from patients with maple syrup urine disease,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
Blood-15V,Blood-15V.mzML,ST001873,Metabolomics analysis of multiple samples on AB 5600-Part 1,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
Blood-30V,Blood-30V.mzML,ST001873,Metabolomics analysis of multiple samples on AB 5600-Part 1,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
D03P_POS,D03P_POS.mzML,ST003514,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
D04P_NEG,D04P_NEG.mzML,ST003514,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
