source_mzml_name,seed_job_count,peak_job_count,true_peak_job_count,out_fig_job_count,eic_tolerance_ppm,required
0001_MAY_RoCI-StEM_CP-287.mzML,465,258,258,0,15.0,True
0021_MAY_ROCI-StEM_HN_575.mzML,502,217,211,6,15.0,True
060-0145-005_017.mzML,504,231,231,0,15.0,True
060-0145-006_018.mzML,515,728,728,0,10.0,True
20180321_S00033936_P.mzML,749,1051,1034,17,10.0,True
20180323_S00033882_N.mzML,683,870,861,9,10.0,True
6545A_20230727_-_57_18.mzML,521,844,843,1,10.0,True
6545A_20230729_+_07_9.mzML,519,1084,1084,0,10.0,True
6545_20201012_14_+_QC 01.mzML,512,703,703,0,10.0,True
6545_20201012_22_+_QC 03.mzML,515,729,726,3,10.0,True
AG-88-11_r12-.mzML,520,602,599,3,10.0,True
AG-88-11_r2+.mzML,516,694,693,1,10.0,True
Blood-15V.mzML,523,1042,1032,10,15.0,True
Blood-30V.mzML,520,845,841,4,15.0,True
D03P_POS.mzML,514,1142,1123,19,15.0,True
D04P_NEG.mzML,302,378,375,3,15.0,True
D06P_POS.mzML,517,992,977,15,15.0,True
D07P_NEG.mzML,284,320,320,0,15.0,True
HepG2-30V.mzML,524,695,695,0,15.0,True
HetCD_mixneg.mzML,506,205,205,0,15.0,True
NIST_Full scan_1_POS.mzML,502,389,389,0,15.0,True
NIST_Full scan_2_NEG.mzML,511,525,525,0,15.0,True
Sphingolipid-BTSPT-Cell-pellet_1.mzML,533,328,328,0,15.0,True
Sphingolipid-BTSPT-OMV_1.mzML,535,434,434,0,15.0,True
Sphingolipid-BTWT-Cell-pellet_1.mzML,542,479,479,0,15.0,True
Urine-15V.mzML,486,856,856,0,15.0,True
Urine-30V.mzML,509,752,752,0,15.0,True
WTHFD_mixpos.mzML,488,264,262,2,15.0,True
frag1_pos20_1.mzML,1000,923,923,0,15.0,True
