sample_id,split,change_type,old_peak_count,new_peak_count,peak_count_delta,old_seed_label,new_seed_label,seed_label_changed,old_max_seed_true_peak_iou,new_max_seed_true_peak_iou,old_boxes_json,new_boxes_json,review_json
060-0145-005_017__F11509,val,新增真峰,0,1,1,0,1,True,0.0,0.6438243348736106,[],"[[218.38345864661653, 74.96240601503762, 283.796992481203, 403.90977443609023]]",119__060-0145-005_017__F11509.json
060-0145-005_017__F15817,val,新增真峰,0,1,1,0,1,True,0.0,0.7639462620578883,[],"[[239.81203007518798, 67.06766917293236, 273.6466165413534, 409.1729323308271]]",145__060-0145-005_017__F15817.json
060-0145-005_017__F16129,val,减少峰数量并/或调整边界,3,1,-2,1,0,True,0.6374708844756779,0.0,"[[83.01075268817209, 84.35990338164248, 162.04301075268822, 403.75925925925924], [206.12903225806463, 151.2764968650464, 282.7933942896299, 403.75925925925924], [282.7933942896299, 189.3019363198771, 352.3655913978496, 403.75925925925924]]","[[83.0107, 84.3599, 160.48872180451127, 405.4135338345865]]",015__060-0145-005_017__F16129.json
060-0145-005_017__F18911,val,调整边界,2,2,0,1,1,False,0.2643984123761391,0.2557912415013589,"[[196.45161290322588, 84.35990338164248, 234.61496666659798, 403.75925925925924], [234.61496666659798, 136.75785933549344, 272.7956989247309, 403.75925925925924]]","[[196.4516, 84.3599, 234.615, 403.7592], [233.86312030075192, 139.01353909774434, 272.0438203007519, 406.01483909774436]]",020__060-0145-005_017__F18911.json
060-0145-005_017__F19134,val,调整边界,1,1,0,1,1,False,0.008483397901167235,0.0077894967496865575,"[[171.18279569892474, 220.69224962980505, 250.21505376344072, 403.75925925925924]]","[[161.61654135338347, 218.5714285714286, 250.2151, 403.7592]]",135__060-0145-005_017__F19134.json
060-0145-005_017__F19293,val,删除全部真峰,1,0,-1,1,0,True,0.7748089797053725,0.0,"[[219.56989247311827, 84.3599033816425, 268.494623655914, 403.75925925925924]]",[],012__060-0145-005_017__F19293.json
060-0145-005_017__F20332,val,删除全部真峰,2,0,-2,1,0,True,0.35789464871903387,0.0,"[[224.40860215053755, 84.35990338164248, 258.84237582424436, 403.75925925925924], [258.84237582424436, 168.86093464347286, 297.52688172043, 403.75925925925924]]",[],002__060-0145-005_017__F20332.json
060-0145-005_017__F20445,val,新增真峰,0,1,1,0,1,True,0.0,0.2494611530692249,[],"[[230.03759398496243, 68.5714285714286, 266.50375939849624, 404.28571428571433]]",144__060-0145-005_017__F20445.json
060-0145-005_017__F20973,val,删除全部真峰,2,0,-2,1,0,True,0.5362754487910738,0.0,"[[221.72043010752705, 142.36190083510246, 286.2365591397852, 403.75925925925924], [150.2150537634409, 84.3599033816425, 193.76344086021518, 403.75925925925924]]",[],008__060-0145-005_017__F20973.json
060-0145-005_017__F21006,val,删除全部真峰,2,0,-2,1,0,True,0.5678965055729371,0.0,"[[242.68817204301087, 164.04768875710832, 272.79569892473114, 403.75925925925924], [295.37634408602145, 153.8814637933698, 358.8172043010753, 403.75925925925924]]",[],066__060-0145-005_017__F21006.json
060-0145-005_017__F21049,val,调整边界,1,1,0,1,1,False,0.42246426612812016,0.3940035224081202,"[[243.2258064516129, 84.35990338164248, 284.0860215053763, 403.75925925925924]]","[[243.1954887218045, 71.20300751879702, 284.9248120300752, 406.54135338345867]]",005__060-0145-005_017__F21049.json
060-0145-005_017__F21141,val,调整边界,1,1,0,1,1,False,0.4570815317453699,0.4294112707980825,"[[237.8494623655914, 84.35990338164248, 291.61290322580635, 403.75925925925924]]","[[237.55639097744364, 44.88721804511282, 291.3157894736842, 407.66917293233087]]",006__060-0145-005_017__F21141.json
060-0145-005_017__F21474,val,增加峰数量并/或调整边界,3,4,1,1,1,False,0.48107770397500915,0.4810781233784134,"[[196.95766710418377, 189.21604299041596, 238.1920004375858, 403.75925925925924], [238.1920004375858, 84.35990338164251, 266.88172043010746, 403.75925925925924], [145.3763440860216, 111.52438123919316, 186.77419354838713, 403.75925925925924]]","[[145.3763, 111.5244, 186.7742, 403.7592], [196.9577, 189.216, 238.192, 403.7592], [238.192, 84.3599, 266.8817, 403.7592], [313.4375, 73.48214285714286, 379.0624999999999, 407.85714285714283]]",001__060-0145-005_017__F21474.json
060-0145-005_017__F8612,val,新增真峰,0,1,1,0,1,True,0.0,0.6763671141533131,[],"[[224.02255639097746, 52.030075187969956, 274.3984962406015, 405.4135338345865]]",040__060-0145-005_017__F8612.json
060-0145-005_017__F8850,val,新增真峰,0,1,1,0,1,True,0.0,0.7077177135304997,[],"[[230.03759398496243, 67.06766917293236, 287.9323308270677, 409.54887218045116]]",113__060-0145-005_017__F8850.json
