split,attribute,n,observed,missing,missing_fraction,mean,std,min,q25,median,q75,max
train,SNR,10525,10525,0,0.0,2.788663543214826,0.9195548964759165,0.6747082929583278,2.1692425391343444,2.682461323148161,3.2855600445416133,11.622937791916156
train,CV,10525,10525,0,0.0,1.3538904768549693,0.6893746842679462,0.0074329847767728,0.8440090660065367,1.292222376101496,1.7511911434353928,5.656854249492381
train,GS,10525,10525,0,0.0,1.4097334833319077,0.7722349982518711,-0.3503617442295382,0.7950844761410868,1.360384497419154,1.956863864542167,3.900572264196844
train,TPAS,10525,10525,0,0.0,0.33877567927684016,0.2507992002205489,-0.2970560591590963,0.1575956309256208,0.3342019079019771,0.5129130000670659,1.3700200571066488
train,H2B,10525,10521,4,0.00038004750593824226,0.19064873824649592,0.17383685136593324,0.0014030819577653,0.0855862912119507,0.1427934188828136,0.2319952993123677,1.0
train,ZZ,10525,10525,0,0.0,-1.3577248248540954,0.7607469475132067,-3.782315453239013,-1.8595189584769944,-1.319227607362245,-0.7351176649296253,0.241235510240195
train,DZZ,10525,10525,0,0.0,0.5886662844290148,0.3186154123944218,-1.8219719439607165,0.3524888280300846,0.6085798879142718,0.8429810364929969,1.47225846967514
train,PCC,10525,10525,0,0.0,1.9927665459457926,0.9927157686687311,-2.1301024675807034,1.1753295988273147,1.976353700975913,2.6524461210816583,4.914200153485807
train,SKEW,10525,10525,0,0.0,1.4213788196526183,1.1532558065145104,-5.80219117761054,0.6267611899432187,1.3710607511411297,2.1250951877760484,8.226661536352903
train,DENT,10525,10525,0,0.0,3.8553270561907884,1.36885049086505,-0.0,3.0026770301136856,3.75057348197626,4.529186476227908,10.253407136741403
train,DM,10525,10525,0,0.0,0.5651258537240593,0.385895527812381,0.009254760910328,0.3015140669304135,0.4596633839945256,0.7071160291485773,2.333333333333333
train,ENT,10525,10525,0,0.0,3.6413976911179136,1.1890078794330412,0.1959092708736049,2.864392763980376,3.6644977792004623,4.390319531114783,7.394890098654611
train,JAG,10525,10525,0,0.0,0.7505224945809859,0.3527966382909895,0.0,0.4705882352941176,0.7368421052631579,1.0384615384615383,1.7
val,SNR,2507,2507,0,0.0,2.717594227487867,0.7789778238286507,0.7717670914102187,2.1780119457280676,2.6543096986539707,3.1530859395861954,6.777725261877999
val,CV,2507,2507,0,0.0,1.2956451955503239,0.5585427654649011,0.0109464314926477,0.9110984817884743,1.3395084683376748,1.6637467039912046,3.71962546394654
val,GS,2507,2507,0,0.0,1.6035358074559902,0.7908815219216403,-0.3810791492225596,0.9955027784358514,1.5474296544628383,2.153553518903085,4.025758458215736
val,TPAS,2507,2507,0,0.0,0.32412690556781865,0.22774283419746605,-0.2929020119656202,0.1771470379035025,0.3475150040336394,0.48064282179784834,1.0483165132857242
val,H2B,2507,2507,0,0.0,0.2109436245043785,0.16698570501205304,0.0049167094418096,0.1127993130501489,0.1629328249528827,0.24630200137393987,1.0
val,ZZ,2507,2507,0,0.0,-1.7513586487387816,0.8560492449543514,-3.737164004653285,-2.523891391274254,-1.668139633378422,-1.05201131496057,0.1925494836413225
val,DZZ,2507,2507,0,0.0,0.5232686574185936,0.3075615999095619,-0.9873057394523445,0.2503237282175538,0.540356343966264,0.7622219242052729,1.3732170385968765
val,PCC,2507,2507,0,0.0,2.5009419857707096,1.12395300824967,-0.7632535856222008,1.624427447680268,2.3917751189846217,3.5109614957292132,5.009984776341963
val,SKEW,2507,2507,0,0.0,1.4028930008716922,0.9757697071346192,-3.555128895964174,0.8244481498544575,1.4419506544586718,2.001393362002485,4.921508783876383
val,DENT,2507,2507,0,0.0,3.9912588317898305,1.0801047409930913,0.7507377947841456,3.2247316207020607,3.869449595445806,4.5499251662379105,10.068802208491366
val,DM,2507,2507,0,0.0,0.41256507989245705,0.25797239928151955,0.0092741527285291,0.21243307025251515,0.3591864715478036,0.5686869424989025,2.142124690603799
