split,peak_count,images,fraction
train,0,3056,0.2903562945368171
train,1,4357,0.4139667458432304
train,2,1932,0.18356294536817103
train,3,760,0.07220902612826603
train,4,263,0.024988123515439428
train,5,110,0.010451306413301662
train,6,35,0.00332541567695962
train,7,8,0.0007600950118764845
train,8,3,0.0002850356294536817
train,9,1,9.501187648456056e-05
val,0,489,0.1950538492221779
val,1,1315,0.5245313123254887
val,2,497,0.19824491424012763
val,3,156,0.062225767850019945
val,4,41,0.016354208216992423
val,5,7,0.002792181890706023
val,6,1,0.00039888312724371757
val,7,1,0.00039888312724371757
test,0,375,0.16411378555798686
test,1,1106,0.4840262582056893
test,2,487,0.21312910284463896
test,3,205,0.08971553610503283
test,4,78,0.03413566739606127
test,5,28,0.01225382932166302
test,6,5,0.002188183807439825
test,7,1,0.000437636761487965
all,0,3920,0.25592478944963115
all,1,6778,0.44251485277795916
all,2,2916,0.1903767056212052
all,3,1121,0.07318665535026442
all,4,382,0.024939609584122217
all,5,145,0.009466605732192988
all,6,41,0.0026767643794476724
all,7,10,0.0006528693608408957
all,8,3,0.00019586080825226873
all,9,1,6.528693608408957e-05
