run_number,random_seed,experiment_id,condition,fusion_mode,best_detection_epoch,best_seed_epoch,selected_detection_threshold,selected_seed_threshold,detection_f1,detection_mean_iou,seed_balanced_accuracy,seed_auroc,detection_precision,detection_recall,seed_f1,seed_average_precision,training_seconds,peak_gpu_memory_bytes,best_detection_checkpoint,best_seed_checkpoint
1,20260725,A_image_only,Image only,image_only,15,4,0.8,0.542,0.8574667962423065,0.873360645942162,0.9630411347820518,0.9947867747513127,0.8852842809364548,0.8313442211055276,0.9723876556578235,0.9988752917130566,4872.485614799953,3576924160,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\A_image_only_seed_20260725\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\A_image_only_seed_20260725\best_seed.pt
2,20260726,A_image_only,Image only,image_only,10,8,0.85,0.743,0.8589913735899137,0.8627214921446278,0.9654893160568672,0.9929816579857405,0.9103375527426161,0.8131281407035176,0.9760043138312213,0.9978856107390797,3784.669837399997,3576930304,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\A_image_only\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\A_image_only\best_seed.pt
3,20260727,A_image_only,Image only,image_only,12,11,0.75,0.963,0.8658892128279884,0.8727801629010096,0.9666840552021517,0.993731455193613,0.8939799331103679,0.8395100502512562,0.975148568341437,0.9981003994590898,3583.9065040000132,3582898688,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\A_image_only\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\A_image_only\best_seed.pt
1,20260725,B_attr_only,Attributes only,attr_only,15,15,0.9,0.541,0.8636950904392765,0.8790667594237032,0.9489931104043035,0.989388101438759,0.8889627659574468,0.839824120603015,0.9660970979115813,0.997772379804202,4670.1832941000175,3552248320,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\B_attr_only_seed_20260725\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\B_attr_only_seed_20260725\best_seed.pt
2,20260726,B_attr_only,Attributes only,attr_only,15,14,0.8,0.64,0.8439864756077926,0.8781023548105117,0.9514593028220126,0.9903733776629816,0.8658738024446647,0.823178391959799,0.956785026149188,0.9979725154090268,3560.9123176999856,3553958912,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\B_attr_only\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\B_attr_only\best_seed.pt
3,20260727,B_attr_only,Attributes only,attr_only,9,15,0.8,0.613,0.8484751716429826,0.8759187823585608,0.9554964671476753,0.9904987885838705,0.8629425138031829,0.8344849246231156,0.9622331691297209,0.9980138347440465,3560.7789600999968,3554048000,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\B_attr_only\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\B_attr_only\best_seed.pt
1,20260725,C_naive_concat,Naive concat,naive_concat,15,3,0.85,0.569,0.8643053533883228,0.8745954411472389,0.9707272232421125,0.9961142626905176,0.8909636545515172,0.8391959798994975,0.9762162162162162,0.9991816365252634,4839.300243099977,3577162752,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\C_naive_concat_seed_20260725\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\C_naive_concat_seed_20260725\best_seed.pt
2,20260726,C_naive_concat,Naive concat,naive_concat,14,12,0.9,0.981,0.8544616397760948,0.8798112702277814,0.9596690485847243,0.9937694787174997,0.8979238754325259,0.8150125628140703,0.9656113537117904,0.9983651458898444,3726.7169993999996,3577501184,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\C_naive_concat\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\C_naive_concat\best_seed.pt
3,20260727,C_naive_concat,Naive concat,naive_concat,12,6,0.85,0.813,0.8652413346290897,0.8750470805507348,0.9684024516500875,0.9963050473893178,0.8933110367892977,0.8388819095477387,0.9790322580645161,0.9992222076137925,3607.704080399999,3581807104,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\C_naive_concat\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\C_naive_concat\best_seed.pt
1,20260725,D_gated_fusion,Gated fusion,gated_fusion,13,5,0.85,0.356,0.8539651837524178,0.8799828548798609,0.9602574125859198,0.9942017461469493,0.8771523178807947,0.8319723618090452,0.9715832205683356,0.9987357010610091,4332.7732490000635,3578938368,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\D_gated_fusion_seed_20260725\best_detection.pt,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\D_gated_fusion_seed_20260725\best_seed.pt
