source_file,scope,mapping_status,excel_match_count,duplicate_nonconflicting,conflict_fields,study_id,instrument_id,column_id,polarity,audit_note
0001_MAY_RoCI-StEM_CP-287,formal_manifest,matched,1,0,,ST002903,Thermo Exactive Plus Orbitrap,Waters ACQUITY UPLC BEH C8,positive,
0021_MAY_ROCI-StEM_HN_575,formal_manifest,matched,1,0,,ST002903,Thermo Q Exactive Plus Orbitrap,Phenomenex Luna NH2,negative,
060-0145-005_017,formal_manifest,matched,1,0,,ST004085,Agilent 6546 QTOF,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,
060-0145-006_018,formal_manifest,matched,1,0,,ST004085,Agilent 6546 QTOF,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,
20180321_S00033936_P,formal_manifest,matched,1,0,,ST002135,SCIEX 5600+ TripleTOF,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",positive,
20180323_S00033882_N,formal_manifest,matched,1,0,,ST002135,SCIEX 5600+ TripleTOF,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,
6545A_20230727_-_57_18,formal_manifest,matched,1,0,,ST003220,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",negative,
6545A_20230729_+_07_9,formal_manifest,matched,1,0,,ST003220,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,
6545_20201012_14_+_QC 01,formal_manifest,matched,1,0,,ST002162,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,
6545_20201012_22_+_QC 03,formal_manifest,matched,1,0,,ST002162,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,
AG-88-11_r12-,formal_manifest,matched,1,0,,ST003792,Thermo Q Exactive Orbitrap,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",negative,
AG-88-11_r2+,formal_manifest,matched,1,0,,ST003792,Thermo Q Exactive Orbitrap,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",positive,
Blood-15V,formal_manifest,matched,1,0,,ST001873,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,
Blood-30V,formal_manifest,matched,1,0,,ST001873,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,
D03P_POS,formal_manifest,matched,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,
D04P_NEG,formal_manifest,matched,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative,
D06P_POS,formal_manifest,matched,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,
D07P_NEG,formal_manifest,matched,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative,
HepG2-30V,formal_manifest,matched,2,1,,ST001873,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,identical duplicate physical copy rows
