aggregation_level,group_id,study_id,project_id,source_file_count,window_count,true_box_count,empty_image_count,single_box_image_count,multi_box_image_count,seed_positive_count,seed_negative_count,seed_positive_rate,instrument,instrument_family,column,polarity,box_width_mean,box_width_median,box_width_p05,box_width_p95,box_height_mean,box_height_median,snr_mean,snr_median,snr_p05,snr_p95,SNR_missing_rate,CV_missing_rate,GS_missing_rate,TPAS_missing_rate,H2B_missing_rate,ZZ_missing_rate,DZZ_missing_rate,PCC_missing_rate,SKEW_missing_rate,DENT_missing_rate,DM_missing_rate,ENT_missing_rate,JAG_missing_rate
study,ST001873,ST001873,PR001182,5,2562,4190,438,969,1155,2043,519,0.797423887587822,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,43.37227873231786,36.500646692153666,14.677590719649242,96.62030790713567,209.15933635980514,316.65459391590645,3.1544445307276865,3.091527814025899,2.0387955908786948,4.554242288934294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST002135,ST002135,PR001352,2,1432,1920,121,858,453,1310,122,0.914804469273743,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",negative | positive,90.13233353270205,78.73777752275419,31.1133534073366,200.69879605624388,259.8426477647174,319.39935587761676,2.874895145336745,2.8606540401807017,1.7326830971453693,3.9993623088421257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST002162,ST002162,PR001375,2,1027,1429,30,697,300,994,33,0.9678675754625121,Agilent 6545 QTOF,Agilent QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,66.26856417545277,58.06451612903223,23.169404606088683,134.5239812504613,249.83492811081632,319.39935587761676,2.981663525804775,2.894476049728856,1.9239798657191995,4.358395330015296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST002903,ST002903,PR001807,2,967,475,629,227,111,327,640,0.33815925542916236,Thermo Exactive Plus Orbitrap | Thermo Q Exactive Plus Orbitrap,Thermo Exactive Orbitrap,Phenomenex Luna NH2 | Waters ACQUITY UPLC BEH C8,negative | positive,50.514920309970826,34.74576271186439,16.425152336306105,146.05364573456728,273.38272542105,319.39935587761676,2.5024436927481952,2.407682055186405,1.5585630574337443,3.8092646698452386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST003127,ST003127,PR001944,2,994,469,661,226,107,312,682,0.31388329979879276,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",negative | positive,62.02685682030286,52.2471910112358,17.081905468164685,141.14519678202217,261.58530320470214,319.39935587761676,2.6112351902490567,2.437102815273611,1.4461007260393366,4.268903110398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST003220,ST003220,PR002008,2,1040,1927,24,468,548,1007,33,0.9682692307692308,Agilent 6545 QTOF,Agilent QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",negative | positive,63.9571276913797,59.139784946236546,24.10333333339984,120.72361166365445,213.32863111709005,319.3993558776167,2.6628370474244845,2.565239788968041,1.6935071318109203,4.053747118984709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST003514,ST003514,PR002159,6,2630,3746,602,991,1037,1989,641,0.7562737642585551,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative | positive,55.89409652492398,47.79197727056723,20.457608530494603,116.84125848911268,221.44766824889757,319.3993558776167,2.8019608911069604,2.6360250627836486,1.5141002624870716,4.693367090187584,0.0,0.0,0.0,0.0,0.001520912547528517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST003792,ST003792,PR002369,2,1036,1296,46,737,253,985,51,0.9507722007722008,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",negative | positive,52.10115848872237,42.33848616092068,16.78286861342893,127.94747038294801,259.2669438891703,319.39935587761676,3.5785339993522682,3.399514531212181,1.9712215508859092,5.65048373174246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST003941,ST003941,PR002470,3,1610,1241,627,788,195,966,644,0.6,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,30.688932515884424,21.489436765902553,11.797752808988776,76.3677543484443,280.20294745622266,319.39935587761676,2.4103157507456996,2.34191179499855,1.2851609210132753,3.6590434143504496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study,ST004085,ST004085,PR002564,2,1019,959,363,424,232,644,375,0.6319921491658489,Agilent 6546 QTOF,Agilent QTOF,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,65.10858803162238,59.139784946236716,25.261594334713674,139.88489324180026,251.8180241649168,319.39935587761676,2.673307178070433,2.596945079678693,1.481283054063917,3.9919339414045654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
