source_file,study_id,project_id,instrument_id,instrument_family,instrument_serial,column_id,chromatography_type,lc_system,polarity,analysis_id,domain_id,data_source,dataset_name,sample_type,doi,official_url,metadata_source,metadata_note
0001_MAY_RoCI-StEM_CP-287,ST002903,PR001807,Thermo Exactive Plus Orbitrap,Thermo Exactive Orbitrap,Exactive Series slot #53,Waters ACQUITY UPLC BEH C8,Reversed phase / HILIC,Shimadzu Nexera X2,positive,AN004764；AN004763,DG05,Metabolomics Workbench,Identification and targeting of microbial putrescine acetylation in bloodstream infections,人血浆,10.21228/M84Q6N,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002903,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002903,File-level instrument/polarity mapping; 本地仅包含该 Study 的两种分析；Study 另有 Q Exactive 正离子分析
0021_MAY_ROCI-StEM_HN_575,ST002903,PR001807,Thermo Q Exactive Plus Orbitrap,Thermo Exactive Orbitrap,Exactive Series slot #115,Phenomenex Luna NH2,Reversed phase / HILIC,Shimadzu Nexera X2,negative,AN004764；AN004763,DG06,Metabolomics Workbench,Identification and targeting of microbial putrescine acetylation in bloodstream infections,人血浆,10.21228/M84Q6N,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002903,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002903,File-level instrument/polarity mapping; 本地仅包含该 Study 的两种分析；Study 另有 Q Exactive 正离子分析
060-0145-005_017,ST004085,PR002564,Agilent 6546 QTOF,Agilent QTOF,SG2214E201,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",Reversed phase,Agilent 1290 Infinity II,negative,AN006772,DG16,Metabolomics Workbench,Methionine restriction alters lipid beta-oxidation and levels of lipids associated with CVD risk,小鼠血浆,10.21228/M8725N,https://www.metabolomicsworkbench.org/data/study_textformat_view.php?ANALYSIS_ID=AN006772&JSON=YES&STUDY_ID=ST004085,sheet_data.json; https://www.metabolomicsworkbench.org/data/study_textformat_view.php?ANALYSIS_ID=AN006772&JSON=YES&STUDY_ID=ST004085,File-level instrument/polarity mapping; 060-0145-005_017.mzML = MR3-9；060-0145-006_018.mzML = MR3-13。两份均来自 raw_data/polar_neg/ms1，因此对应 AN006772 的负离子 HSS T3 反相数据，不是 iHILIC。
060-0145-006_018,ST004085,PR002564,Agilent 6546 QTOF,Agilent QTOF,SG2214E201,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",Reversed phase,Agilent 1290 Infinity II,negative,AN006772,DG16,Metabolomics Workbench,Methionine restriction alters lipid beta-oxidation and levels of lipids associated with CVD risk,小鼠血浆,10.21228/M8725N,https://www.metabolomicsworkbench.org/data/study_textformat_view.php?ANALYSIS_ID=AN006772&JSON=YES&STUDY_ID=ST004085,sheet_data.json; https://www.metabolomicsworkbench.org/data/study_textformat_view.php?ANALYSIS_ID=AN006772&JSON=YES&STUDY_ID=ST004085,File-level instrument/polarity mapping; 060-0145-005_017.mzML = MR3-9；060-0145-006_018.mzML = MR3-13。两份均来自 raw_data/polar_neg/ms1，因此对应 AN006772 的负离子 HSS T3 反相数据，不是 iHILIC。
20180321_S00033936_P,ST002135,PR001352,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,BN20031205H,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",Reversed phase,Shimadzu Prominence UFLC,positive,AN003496；AN003495,DG03,Metabolomics Workbench,Alignment and Analysis of a Disparately Acquired Multi-Batch Metabolomics Study of Maternal Pregnancy Samples. (Part 2),人血浆,10.21228/M8ZD7C,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002135,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002135,File-level instrument/polarity mapping; 该 Study 还包含 Agilent 6545 QTOF 批次；本地两份属于 SCIEX 批次
20180323_S00033882_N,ST002135,PR001352,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,BN20031205H,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",Reversed phase,Shimadzu Prominence UFLC,negative,AN003496；AN003495,DG02,Metabolomics Workbench,Alignment and Analysis of a Disparately Acquired Multi-Batch Metabolomics Study of Maternal Pregnancy Samples. (Part 2),人血浆,10.21228/M8ZD7C,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002135,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002135,File-level instrument/polarity mapping; 该 Study 还包含 Agilent 6545 QTOF 批次；本地两份属于 SCIEX 批次
6545A_20230727_-_57_18,ST003220,PR002008,Agilent 6545 QTOF,Agilent QTOF,unknown,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",Reversed phase,Agilent 1290 Infinity,negative,AN005280；AN005281,DG09,Metabolomics Workbench,"Obesity, sex, and depot drive distinct lipid profiles in murine white adipose tissue",小鼠白色脂肪组织,10.21228/M8281N,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003220,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003220,File-level instrument/polarity mapping; 无明显冲突
6545A_20230729_+_07_9,ST003220,PR002008,Agilent 6545 QTOF,Agilent QTOF,unknown,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",Reversed phase,Agilent 1290 Infinity,positive,AN005280；AN005281,DG10,Metabolomics Workbench,"Obesity, sex, and depot drive distinct lipid profiles in murine white adipose tissue",小鼠白色脂肪组织,10.21228/M8281N,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003220,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003220,File-level instrument/polarity mapping; 无明显冲突
6545_20201012_14_+_QC 01,ST002162,PR001375,Agilent 6545 QTOF,Agilent QTOF,SG1736E101,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",Reversed phase,官方字段写 Agilent 6550,positive,文件级 Analysis ID 未唯一确认,DG04,Metabolomics Workbench,CFAP418 participates in membrane-associated cellular processes through binding lipids during ciliogenesis,小鼠视网膜,10.21228/M8069C,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002162,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002162,File-level instrument/polarity mapping; 研究整体使用 6540 与 6545，但本地两份训练文件属于 6545 正离子采集批次；仪器字段按文件而非按整个 Study 汇总。
6545_20201012_22_+_QC 03,ST002162,PR001375,Agilent 6545 QTOF,Agilent QTOF,SG1736E101,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",Reversed phase,官方字段写 Agilent 6550,positive,文件级 Analysis ID 未唯一确认,DG04,Metabolomics Workbench,CFAP418 participates in membrane-associated cellular processes through binding lipids during ciliogenesis,小鼠视网膜,10.21228/M8069C,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002162,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST002162,File-level instrument/polarity mapping; 研究整体使用 6540 与 6545，但本地两份训练文件属于 6545 正离子采集批次；仪器字段按文件而非按整个 Study 汇总。
