sample_id,source_file,true_peak_count_class,true_positive,false_positive,false_negative,target_count,prediction_count,exact_count,count_absolute_error,mean_matched_iou
HetCD_mixneg__F10000,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9150823950767517
HetCD_mixneg__F10022,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10138,HetCD_mixneg,single,1,0,0,1,1,True,0,0.6378134489059448
HetCD_mixneg__F10185,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9643652439117432
HetCD_mixneg__F10200,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10372,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10385,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10435,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10462,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.946368545293808
HetCD_mixneg__F1053,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1057,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10575,HetCD_mixneg,single,1,0,0,1,1,True,0,0.8523762226104736
HetCD_mixneg__F10600,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.8679325878620148
HetCD_mixneg__F10601,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.9111335873603821
HetCD_mixneg__F1064,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10735,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10747,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1078,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10797,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10853,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10873,HetCD_mixneg,single,1,0,0,1,1,True,0,0.895859956741333
HetCD_mixneg__F10903,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1093,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9743523001670837
HetCD_mixneg__F10937,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10946,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.9166915714740753
HetCD_mixneg__F1098,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11001,HetCD_mixneg,single,1,0,0,1,1,True,0,0.8020773530006409
HetCD_mixneg__F11052,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
