sample_id,source_file,true_peak_count_class,true_positive,false_positive,false_negative,target_count,prediction_count,exact_count,count_absolute_error,mean_matched_iou
Sphingolipid-BTSPT-Cell-pellet_1__F1,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9542289972305298
Sphingolipid-BTSPT-Cell-pellet_1__F10,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F100,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F101,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8726530075073242
Sphingolipid-BTSPT-Cell-pellet_1__F102,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8858625888824463
Sphingolipid-BTSPT-Cell-pellet_1__F103,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F104,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9125003218650818
Sphingolipid-BTSPT-Cell-pellet_1__F105,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F106,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F107,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.756628692150116
Sphingolipid-BTSPT-Cell-pellet_1__F108,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F109,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8427980542182922
Sphingolipid-BTSPT-Cell-pellet_1__F11,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7430186867713928
Sphingolipid-BTSPT-Cell-pellet_1__F110,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F111,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F112,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F113,Sphingolipid-BTSPT-Cell-pellet_1,multi,2,0,0,2,2,True,0,0.8845739662647247
Sphingolipid-BTSPT-Cell-pellet_1__F114,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8626869916915894
Sphingolipid-BTSPT-Cell-pellet_1__F115,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8706556558609009
Sphingolipid-BTSPT-Cell-pellet_1__F116,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.913492739200592
Sphingolipid-BTSPT-Cell-pellet_1__F117,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8927907347679138
Sphingolipid-BTSPT-Cell-pellet_1__F118,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F119,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7787420749664307
Sphingolipid-BTSPT-Cell-pellet_1__F12,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F120,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9140059351921082
Sphingolipid-BTSPT-Cell-pellet_1__F121,Sphingolipid-BTSPT-Cell-pellet_1,multi,2,0,0,2,2,True,0,0.8473349511623383
Sphingolipid-BTSPT-Cell-pellet_1__F122,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8488796949386597
Sphingolipid-BTSPT-Cell-pellet_1__F123,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9153363108634949
Sphingolipid-BTSPT-Cell-pellet_1__F124,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F125,Sphingolipid-BTSPT-Cell-pellet_1,single,0,1,1,1,1,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F126,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7928895354270935
Sphingolipid-BTSPT-Cell-pellet_1__F127,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7952107787132263
Sphingolipid-BTSPT-Cell-pellet_1__F128,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F129,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.6742613315582275
Sphingolipid-BTSPT-Cell-pellet_1__F13,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.843320369720459
Sphingolipid-BTSPT-Cell-pellet_1__F130,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8794040083885193
Sphingolipid-BTSPT-Cell-pellet_1__F131,Sphingolipid-BTSPT-Cell-pellet_1,single,0,1,1,1,1,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F132,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F133,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8722888231277466
Sphingolipid-BTSPT-Cell-pellet_1__F134,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7539860606193542
Sphingolipid-BTSPT-Cell-pellet_1__F135,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9021923542022705
Sphingolipid-BTSPT-Cell-pellet_1__F136,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8180132508277893
Sphingolipid-BTSPT-Cell-pellet_1__F137,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8498664498329163
Sphingolipid-BTSPT-Cell-pellet_1__F138,Sphingolipid-BTSPT-Cell-pellet_1,multi,2,0,0,2,2,True,0,0.8851230144500732
Sphingolipid-BTSPT-Cell-pellet_1__F139,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F14,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.868374764919281
Sphingolipid-BTSPT-Cell-pellet_1__F140,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F141,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8575929403305054
Sphingolipid-BTSPT-Cell-pellet_1__F143,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F144,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8930803537368774
Sphingolipid-BTSPT-Cell-pellet_1__F145,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F146,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F147,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F148,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9280533194541931
Sphingolipid-BTSPT-Cell-pellet_1__F149,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F15,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.68987637758255
Sphingolipid-BTSPT-Cell-pellet_1__F150,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9190754294395447
Sphingolipid-BTSPT-Cell-pellet_1__F151,Sphingolipid-BTSPT-Cell-pellet_1,multi,2,0,0,2,2,True,0,0.8153019547462463
Sphingolipid-BTSPT-Cell-pellet_1__F152,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8607561588287354
