sample_id,source_file,true_peak_count_class,true_positive,false_positive,false_negative,target_count,prediction_count,exact_count,count_absolute_error,mean_matched_iou
D04P_NEG__F1,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F10,D04P_NEG,single,0,1,1,1,1,True,0,0.0
D04P_NEG__F102,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F104,D04P_NEG,multi,2,1,0,2,3,False,1,0.8229909539222717
D04P_NEG__F105,D04P_NEG,multi,2,0,0,2,2,True,0,0.7668028771877289
D04P_NEG__F109,D04P_NEG,single,1,0,0,1,1,True,0,0.8728211522102356
D04P_NEG__F11,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F110,D04P_NEG,single,1,0,0,1,1,True,0,0.9417636394500732
D04P_NEG__F111,D04P_NEG,single,1,0,0,1,1,True,0,0.9188817143440247
D04P_NEG__F114,D04P_NEG,empty,0,1,0,0,1,False,1,0.0
D04P_NEG__F115,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F117,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F118,D04P_NEG,empty,0,1,0,0,1,False,1,0.0
D04P_NEG__F119,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F12,D04P_NEG,single,1,0,0,1,1,True,0,0.6528182029724121
D04P_NEG__F125,D04P_NEG,multi,2,0,0,2,2,True,0,0.9123243093490601
D04P_NEG__F127,D04P_NEG,single,1,0,0,1,1,True,0,0.9414169192314148
D04P_NEG__F132,D04P_NEG,single,1,0,0,1,1,True,0,0.9137996435165405
D04P_NEG__F133,D04P_NEG,single,1,0,0,1,1,True,0,0.7916992902755737
D04P_NEG__F138,D04P_NEG,single,1,0,0,1,1,True,0,0.9493374824523926
D04P_NEG__F141,D04P_NEG,single,1,0,0,1,1,True,0,0.9817908406257629
D04P_NEG__F142,D04P_NEG,single,1,0,0,1,1,True,0,0.9826669692993164
D04P_NEG__F145,D04P_NEG,single,1,0,0,1,1,True,0,0.8371230959892273
D04P_NEG__F146,D04P_NEG,multi,3,0,0,3,3,True,0,0.9197161793708801
D04P_NEG__F149,D04P_NEG,multi,2,0,0,2,2,True,0,0.9326589703559875
D04P_NEG__F150,D04P_NEG,single,1,0,0,1,1,True,0,0.9747492671012878
D04P_NEG__F153,D04P_NEG,single,1,0,0,1,1,True,0,0.8805902600288391
D04P_NEG__F154,D04P_NEG,multi,3,0,0,3,3,True,0,0.8619855642318726
D04P_NEG__F155,D04P_NEG,multi,3,0,0,3,3,True,0,0.8708681464195251
D04P_NEG__F156,D04P_NEG,single,1,0,0,1,1,True,0,0.9659985899925232
D04P_NEG__F158,D04P_NEG,single,1,0,0,1,1,True,0,0.9466240406036377
D04P_NEG__F159,D04P_NEG,single,1,0,0,1,1,True,0,0.8504117131233215
D04P_NEG__F16,D04P_NEG,single,1,0,0,1,1,True,0,0.9093148112297058
D04P_NEG__F164,D04P_NEG,single,1,0,0,1,1,True,0,0.8819388747215271
D04P_NEG__F166,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F168,D04P_NEG,multi,2,0,0,2,2,True,0,0.7953513860702515
D04P_NEG__F169,D04P_NEG,multi,2,0,0,2,2,True,0,0.8667998611927032
D04P_NEG__F17,D04P_NEG,single,1,0,0,1,1,True,0,0.930793046951294
D04P_NEG__F173,D04P_NEG,single,1,0,0,1,1,True,0,0.9424406290054321
D04P_NEG__F174,D04P_NEG,single,1,0,0,1,1,True,0,0.9323793649673462
D04P_NEG__F175,D04P_NEG,single,0,1,1,1,1,True,0,0.0
