sample_id,source_file,true_peak_count_class,true_positive,false_positive,false_negative,target_count,prediction_count,exact_count,count_absolute_error,mean_matched_iou
D04P_NEG__F1,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F10,D04P_NEG,single,1,0,0,1,1,True,0,0.5025527477264404
D04P_NEG__F102,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F104,D04P_NEG,multi,2,1,0,2,3,False,1,0.8492591083049774
D04P_NEG__F105,D04P_NEG,multi,2,0,0,2,2,True,0,0.8543002903461456
D04P_NEG__F109,D04P_NEG,single,1,0,0,1,1,True,0,0.9259776473045349
D04P_NEG__F11,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F110,D04P_NEG,single,1,0,0,1,1,True,0,0.9153763651847839
D04P_NEG__F111,D04P_NEG,single,1,0,0,1,1,True,0,0.8808236718177795
D04P_NEG__F114,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F115,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F117,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F118,D04P_NEG,empty,0,1,0,0,1,False,1,0.0
D04P_NEG__F119,D04P_NEG,empty,0,0,0,0,0,True,0,0.0
D04P_NEG__F12,D04P_NEG,single,1,0,0,1,1,True,0,0.6462017893791199
D04P_NEG__F125,D04P_NEG,multi,2,1,0,2,3,False,1,0.9035840332508087
D04P_NEG__F127,D04P_NEG,single,1,0,0,1,1,True,0,0.9180389046669006
D04P_NEG__F132,D04P_NEG,single,1,0,0,1,1,True,0,0.8722904324531555
D04P_NEG__F133,D04P_NEG,single,1,0,0,1,1,True,0,0.8420235514640808
D04P_NEG__F138,D04P_NEG,single,1,0,0,1,1,True,0,0.9261672496795654
D04P_NEG__F141,D04P_NEG,single,1,0,0,1,1,True,0,0.9416221976280212
D04P_NEG__F142,D04P_NEG,single,1,0,0,1,1,True,0,0.9329683780670166
D04P_NEG__F145,D04P_NEG,single,1,0,0,1,1,True,0,0.8281644582748413
D04P_NEG__F146,D04P_NEG,multi,3,0,0,3,3,True,0,0.8940490881601969
D04P_NEG__F149,D04P_NEG,multi,2,0,0,2,2,True,0,0.913204550743103
D04P_NEG__F150,D04P_NEG,single,1,0,0,1,1,True,0,0.9483196139335632
