sample_id,source_file,true_peak_count_class,true_positive,false_positive,false_negative,target_count,prediction_count,exact_count,count_absolute_error,mean_matched_iou
HetCD_mixneg__F10000,HetCD_mixneg,single,1,0,0,1,1,True,0,0.8289151787757874
HetCD_mixneg__F10022,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10138,HetCD_mixneg,single,1,0,0,1,1,True,0,0.7989147305488586
HetCD_mixneg__F10185,HetCD_mixneg,single,1,0,0,1,1,True,0,0.8998266458511353
HetCD_mixneg__F10200,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10372,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10385,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10435,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10462,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.8914019465446472
HetCD_mixneg__F1053,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1057,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10575,HetCD_mixneg,single,1,0,0,1,1,True,0,0.7429113984107971
HetCD_mixneg__F10600,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.8863484859466553
HetCD_mixneg__F10601,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.9275056719779968
HetCD_mixneg__F1064,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10735,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10747,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1078,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10797,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10853,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10873,HetCD_mixneg,single,1,0,0,1,1,True,0,0.8885117769241333
HetCD_mixneg__F10903,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1093,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9496243596076965
HetCD_mixneg__F10937,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F10946,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.8869976699352264
HetCD_mixneg__F1098,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11001,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9173201322555542
HetCD_mixneg__F11052,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11091,HetCD_mixneg,multi,0,2,2,2,2,True,0,0.0
HetCD_mixneg__F11118,HetCD_mixneg,multi,1,0,1,2,1,False,1,0.852332353591919
HetCD_mixneg__F11128,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1115,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11151,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11265,HetCD_mixneg,single,1,1,0,1,2,False,1,0.788809061050415
HetCD_mixneg__F11321,HetCD_mixneg,multi,0,2,2,2,2,True,0,0.0
HetCD_mixneg__F11347,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11377,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11386,HetCD_mixneg,single,1,1,0,1,2,False,1,0.8710500597953796
HetCD_mixneg__F11421,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11468,HetCD_mixneg,empty,0,1,0,0,1,False,1,0.0
HetCD_mixneg__F11488,HetCD_mixneg,empty,0,1,0,0,1,False,1,0.0
HetCD_mixneg__F11500,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9395052194595337
HetCD_mixneg__F11582,HetCD_mixneg,single,0,2,1,1,2,False,1,0.0
HetCD_mixneg__F11644,HetCD_mixneg,single,0,0,1,1,0,False,1,0.0
HetCD_mixneg__F11713,HetCD_mixneg,single,1,0,0,1,1,True,0,0.8703832030296326
HetCD_mixneg__F11720,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11828,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11863,HetCD_mixneg,multi,2,0,1,3,2,False,1,0.8303974866867065
HetCD_mixneg__F11887,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F11938,HetCD_mixneg,multi,1,0,1,2,1,False,1,0.8961412310600281
HetCD_mixneg__F12013,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9177006483078003
HetCD_mixneg__F12064,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12070,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12091,HetCD_mixneg,multi,2,0,0,2,2,True,0,0.9170911312103271
HetCD_mixneg__F12118,HetCD_mixneg,multi,0,0,2,2,0,False,2,0.0
HetCD_mixneg__F12124,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12135,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1216,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12163,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12168,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12234,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12278,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12315,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12321,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12417,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F1244,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12482,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12557,HetCD_mixneg,empty,0,0,0,0,0,True,0,0.0
HetCD_mixneg__F12605,HetCD_mixneg,single,1,0,0,1,1,True,0,0.9271590709686279
HetCD_mixneg__F12624,HetCD_mixneg,multi,3,1,0,3,4,False,1,0.7869868874549866
