sample_id,source_file,true_peak_count_class,true_positive,false_positive,false_negative,target_count,prediction_count,exact_count,count_absolute_error,mean_matched_iou
Sphingolipid-BTSPT-Cell-pellet_1__F1,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8342368602752686
Sphingolipid-BTSPT-Cell-pellet_1__F10,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F100,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F101,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9235838651657104
Sphingolipid-BTSPT-Cell-pellet_1__F102,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8682565689086914
Sphingolipid-BTSPT-Cell-pellet_1__F103,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F104,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7641464471817017
Sphingolipid-BTSPT-Cell-pellet_1__F105,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F106,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F107,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7833060026168823
Sphingolipid-BTSPT-Cell-pellet_1__F108,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F109,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8505879044532776
Sphingolipid-BTSPT-Cell-pellet_1__F11,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8132526874542236
Sphingolipid-BTSPT-Cell-pellet_1__F110,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F111,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F112,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,1,0,0,1,False,1,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F113,Sphingolipid-BTSPT-Cell-pellet_1,multi,2,0,0,2,2,True,0,0.8895111382007599
Sphingolipid-BTSPT-Cell-pellet_1__F114,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8736439943313599
Sphingolipid-BTSPT-Cell-pellet_1__F115,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8002628684043884
Sphingolipid-BTSPT-Cell-pellet_1__F116,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9004711508750916
Sphingolipid-BTSPT-Cell-pellet_1__F117,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9573052525520325
Sphingolipid-BTSPT-Cell-pellet_1__F118,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F119,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8796480894088745
Sphingolipid-BTSPT-Cell-pellet_1__F12,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F120,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7475101351737976
Sphingolipid-BTSPT-Cell-pellet_1__F121,Sphingolipid-BTSPT-Cell-pellet_1,multi,1,0,1,2,1,False,1,0.8320387601852417
Sphingolipid-BTSPT-Cell-pellet_1__F122,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8269432187080383
Sphingolipid-BTSPT-Cell-pellet_1__F123,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.9481414556503296
Sphingolipid-BTSPT-Cell-pellet_1__F124,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F125,Sphingolipid-BTSPT-Cell-pellet_1,single,0,1,1,1,1,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F126,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7653403282165527
Sphingolipid-BTSPT-Cell-pellet_1__F127,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.7176069617271423
Sphingolipid-BTSPT-Cell-pellet_1__F128,Sphingolipid-BTSPT-Cell-pellet_1,empty,0,0,0,0,0,True,0,0.0
Sphingolipid-BTSPT-Cell-pellet_1__F129,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.6103103160858154
Sphingolipid-BTSPT-Cell-pellet_1__F13,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8263077139854431
Sphingolipid-BTSPT-Cell-pellet_1__F130,Sphingolipid-BTSPT-Cell-pellet_1,single,1,0,0,1,1,True,0,0.8131300806999207
