assigned_split,source_file,study_id,domain_id,instrument_id,column_id,polarity,window_count,true_box_count,seed_positive_count,seed_negative_count,original_splits
train,0001_MAY_RoCI-StEM_CP-287,ST002903,DG05,Thermo Exactive Plus Orbitrap,Waters ACQUITY UPLC BEH C8,positive,465,258,161,304,train
train,060-0145-005_017,ST004085,DG16,Agilent 6546 QTOF,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,504,231,156,348,val
train,060-0145-006_018,ST004085,DG16,Agilent 6546 QTOF,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,515,728,488,27,train
train,20180323_S00033882_N,ST002135,DG02,SCIEX 5600+ TripleTOF,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,683,869,625,58,val
train,6545A_20230727_-_57_18,ST003220,DG09,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",negative,521,843,494,27,val
train,6545A_20230729_+_07_9,ST003220,DG10,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,519,1084,513,6,train
train,6545_20201012_14_+_QC 01,ST002162,DG04,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,512,703,495,17,train
train,AG-88-11_r2+,ST003792,DG14,Thermo Q Exactive Orbitrap,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",positive,516,694,496,20,train
train,Blood-30V,ST001873,DG01,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,520,845,388,132,train
train,HepG2-30V,ST001873,DG01,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,524,695,388,136,train
train,Urine-15V,ST001873,DG01,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,486,856,420,66,train
train,Urine-30V,ST001873,DG01,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,509,752,388,121,train
train,frag1_pos20_1,自采,DG17,Agilent 6546 QTOF,unknown,positive,1000,923,443,557,train
val,0021_MAY_ROCI-StEM_HN_575,ST002903,DG06,Thermo Q Exactive Plus Orbitrap,Phenomenex Luna NH2,negative,502,217,166,336,train
val,6545_20201012_22_+_QC 03,ST002162,DG04,Agilent 6545 QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,515,726,499,16,val
val,Blood-15V,ST001873,DG01,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,523,1042,459,64,train
External A,HetCD_mixneg,ST003127,DG07,Thermo Q Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",negative,506,205,138,368,train
External A,WTHFD_mixpos,ST003127,DG08,Thermo Q Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",positive,488,264,174,314,train
External B,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,DG15,Thermo Orbitrap ID-X Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,533,328,284,249,train
External B,Sphingolipid-BTSPT-OMV_1,ST003941,DG15,Thermo Orbitrap ID-X Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,535,434,322,213,train
External B,Sphingolipid-BTWT-Cell-pellet_1,ST003941,DG15,Thermo Orbitrap ID-X Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,542,479,360,182,train
External C,D03P_POS,ST003514,DG12,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,514,1142,495,19,test
External C,D04P_NEG,ST003514,DG11,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative,302,378,245,57,train
External C,D06P_POS,ST003514,DG12,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,517,992,460,57,train
External C,D07P_NEG,ST003514,DG11,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative,284,320,224,60,val
External C,NIST_Full scan_1_POS,ST003514,DG12,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,502,389,219,283,test
External C,NIST_Full scan_2_NEG,ST003514,DG11,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative,511,525,346,165,train
locked_original_test,20180321_S00033936_P,ST002135,DG03,SCIEX 5600+ TripleTOF,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",positive,749,1051,685,64,test
locked_original_test,AG-88-11_r12-,ST003792,DG13,Thermo Q Exactive Orbitrap,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",negative,520,602,489,31,test
