assigned_split,original_split,sample_id,image_path,source_file,study_id,project_id,instrument_id,instrument_family,column_id,chromatography_type,polarity,domain_id,seed_label,true_box_count,boxes_json,attributes_json
External A,train,HetCD_mixneg__F10000,HetCD_mixneg/HetCD_mixneg__F10000.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,1,1,"[[238.0337078651686, 84.3599033816425, 332.97752808988764, 403.75925925925924]]","[2.2426367226713886, 1.1724542226778751, 1.8641075109826848, 0.2588035104504972, 0.2596613698204565, -2.45409600536474, 0.9464618159086826, 3.4881209700659137, 1.0242143883678725, 5.026858603833047, 0.1398184200448755, 5.286648574224887, 0.7142857142857143]"
External A,train,HetCD_mixneg__F10022,HetCD_mixneg/HetCD_mixneg__F10022.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,0,0,[],"[1.8966169521330145, 0.7306982349293528, 0.3372885371488724, 0.0766139882622843, 0.1063073610972146, -0.4756489222702973, 0.9455358245648464, 1.0025918241435847, 0.3474964999279256, 4.034162020026765, 0.6847891189442784, 3.931838457168456, 1.2173913043478262]"
External A,train,HetCD_mixneg__F10138,HetCD_mixneg/HetCD_mixneg__F10138.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,1,1,"[[238.0337078651686, 84.35990338164251, 272.86516853932585, 403.75925925925924]]","[2.9069151838904195, 1.1396926998408097, 1.3884738603282616, 0.3337484569613315, 0.174166767255361, -1.2882072795090942, 0.9721742233877316, 1.92500003940255, 1.3553227604439262, 4.61123526310295, 0.4564889055329617, 4.55909379741774, 0.9777777777777776]"
External A,train,HetCD_mixneg__F10185,HetCD_mixneg/HetCD_mixneg__F10185.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,1,1,"[[233.53932584269663, 84.35990338164248, 289.7191011235956, 403.75925925925924]]","[2.177072470510168, 1.1341208674749972, 1.6519842982294586, 0.2391822311769898, 0.2779970476528399, -1.388067093300844, 1.1123499391214522, 2.261117318731772, 0.8931043812513142, 4.828412349616372, 0.2962814731413951, 4.378783493486176, 1.0714285714285714]"
External A,train,HetCD_mixneg__F10200,HetCD_mixneg/HetCD_mixneg__F10200.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,0,0,[],"[4.121249919193405, 1.107914324469541, 0.4776421683774688, 0.4445125680933821, 0.0108032583063323, -0.634856682168448, 0.5018337079762265, 0.6676726662683803, 1.437694112806702, 5.417871872138911, 1.0276670795646554, 4.010417785851876, 1.2804878048780488]"
External A,train,HetCD_mixneg__F10372,HetCD_mixneg/HetCD_mixneg__F10372.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,0,0,[],"[4.046445278427908, 1.1085144654548658, 0.4780821944761333, 0.4381896379659872, 0.0160967318604695, -0.6919725773023713, 0.6154419366497128, 0.7903760854120545, 1.1767333173738, 5.400235947470443, 1.0022745629251546, 3.5277848400070018, 1.0813953488372092]"
External A,train,HetCD_mixneg__F10385,HetCD_mixneg/HetCD_mixneg__F10385.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,0,0,[],"[2.519344039081524, 0.8149972408432383, 0.4815617943225733, 0.1837335706950125, 0.0563081567630546, -0.3261977188427661, 0.624893900250074, 0.5588339856202754, 0.9334666073177812, 4.30057961009434, 0.9728977432991316, 3.947416444901134, 1.3103448275862069]"
External A,train,HetCD_mixneg__F10435,HetCD_mixneg/HetCD_mixneg__F10435.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,0,0,[],"[2.612097949889615, 1.019191290744985, 0.6720621103553683, 0.2627153215595425, 0.0678256234082129, -0.0643318473018863, 0.4767619387479502, -0.1526804026233522, 0.8557799048518258, 3.3462648212395574, 1.565518029164119, 2.879506460812006, 1.368421052631579]"
External A,train,HetCD_mixneg__F10462,HetCD_mixneg/HetCD_mixneg__F10462.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,1,2,"[[227.69425893134374, 84.35990338164251, 281.2800587700484, 403.75925925925924], [281.2800587700484, 290.55894042677903, 302.0786516853933, 403.75925925925924]]","[1.980492715993015, 0.7002295774572427, 1.8851694214585704, 0.0767859566635205, 0.4173003363923495, -1.7049543871503463, 0.9920229206213452, 2.51644541031581, 0.4531109127252824, 5.237154764974839, 0.1502920352377476, 5.492260864523372, 1.0612244897959184]"
External A,train,HetCD_mixneg__F1053,HetCD_mixneg/HetCD_mixneg__F1053.png,HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,negative,DG07,0,0,[],"[3.2239078797544, 0.5357813242539003, 0.1943702241235435, 0.1347044507879685, 0.0067028778227734, -0.7278128335214779, 0.9069996189321368, 0.8196008762732847, 1.1296880372588702, 7.621997660999188, 0.4839063729926582, 6.301761727911877, 1.3187772925764192]"
