assigned_split,original_split,sample_id,image_path,source_file,study_id,project_id,instrument_id,instrument_family,column_id,chromatography_type,polarity,domain_id,seed_label,true_box_count,boxes_json,attributes_json
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F1,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F1.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,1,1,"[[239.7191011235955, 84.35990338164251, 264.43820224719116, 403.75925925925924]]","[3.4598128578013085, 1.8110162421303304, 1.1199616888420527, 0.5602520855232593, 0.1165318184093151, -1.2770729056696717, 0.948363371869513, 1.856220916002009, 1.9239148551131, 3.3898543883587755, 0.5428455524380996, 1.9567796494470395, 0.5]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F10,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F10.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,0,0,[],"[2.933096217302054, 1.5735347771584631, 0.7901566740198007, 0.4483452033011267, 0.1578442478490619, -1.120158376185432, 0.6931739657482727, 1.7999524291063254, 1.3519469666199386, 3.3733352569665955, 0.5827010321542673, 1.9685826945058893, 0.4705882352941176]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F100,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F100.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,0,0,[],"[3.49759141863642, 1.631960774546917, 0.6085614898020185, 0.5255586557788571, 0.0424918090083191, -0.7602761286792308, 0.8475858964470986, 1.1435193433951762, 1.6642343778136963, 3.875441881602858, 0.9854401722556536, 2.135832171894209, 0.6122448979591837]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F101,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F101.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,1,1,"[[250.16042780748666, 84.35990338164251, 273.3718605773913, 403.75925925925924]]","[2.774305872013776, 1.5538988239839913, 2.877613606952888, 0.4241455396997442, 0.1652960334346652, -1.7822425799420216, 0.2062673736579985, 2.807537105052152, 1.8159002346891884, 3.032589092588536, 0.5167823184937537, 3.0717350271381685, 0.3636363636363636]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F102,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F102.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,1,1,"[[242.31388366706264, 84.35990338164248, 301.5168539325843, 403.75925925925924]]","[4.583369685226734, 2.5439241380967985, 2.114584085670109, 0.8013949546096141, 0.0547818271156201, -1.421767717541073, 0.526942284901631, 1.872340687621836, 3.72004138089446, 3.3082967253863336, 0.681831361912273, 3.305863082847827, 1.0232558139534884]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F103,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F103.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,0,0,[],"[2.0270485096469364, 1.1238704857291602, 1.0470189287309135, 0.2145975005342442, 0.1952866987271132, -0.7130441179482792, 0.9163204063486324, 1.4984544409478184, 0.6807870761302401, 3.2287590835983804, 0.6208519543474716, 2.660964047443681, 0.6]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F104,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F104.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,1,1,"[[251.51685393258424, 84.35990338164248, 264.43820224719104, 403.75925925925924]]","[2.459481724342562, 1.519291422415213, 1.4995170886971405, 0.3744430861687689, 0.211347516104727, -0.9483038353856336, 0.703750130362869, 1.7663935537062063, 1.309160783666934, 2.2526128620905843, 0.6766670696258047, 1.6922718656836109, 0.2666666666666666]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F105,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F105.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,0,0,[],"[1.7658594965542906, 0.9200742463822652, 0.3950379500701592, 0.1180532902261104, 0.0769684794184723, -0.565803106593524, 1.044729186476331, 1.311977355711166, 0.3700915949781366, 4.125277046952268, 0.6523926128336026, 3.571765668774843, 1.1333333333333333]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F106,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F106.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,0,0,[],"[1.3611488419474085, 0.6091404948402688, 1.1052163498052148, -0.0387852141609956, 0.4782561318562477, -1.019781998376455, 0.7483979205624163, 1.654161115395078, -0.6423324721867733, 4.044402955084808, 0.2889775596504496, 3.8408115970719874, 0.9090909090909092]"
External B,train,Sphingolipid-BTSPT-Cell-pellet_1__F107,Sphingolipid-BTSPT-Cell-pellet_1/Sphingolipid-BTSPT-Cell-pellet_1__F107.png,Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,positive,DG15,1,1,"[[231.64605048117602, 84.35990338164247, 290.8426966292137, 403.75925925925924]]","[3.302351651591763, 1.7491648086639422, 1.297624339888782, 0.5299663011669472, 0.1358069772260753, -2.244810684672595, 0.6356510733447447, 3.035800232801556, 1.972520675088888, 4.438563191312915, 0.2329458944809732, 3.350454520514948, 0.5070422535211268]"
