assigned_split,original_split,sample_id,image_path,source_file,study_id,project_id,instrument_id,instrument_family,column_id,chromatography_type,polarity,domain_id,seed_label,true_box_count,boxes_json,attributes_json
External C,train,D04P_NEG__F1,D04P_NEG/D04P_NEG__F1.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,0,0,[],"[3.0183339896758463, 0.2160917398637943, 0.7689817669030954, -0.0829576408029116, 0.1888609255381724, -2.318318105020211, 0.982650684848894, 2.593326610798165, 0.5159910924943164, 7.999826982596251, 0.0482251214309086, 6.352213697795818, 1.015267175572519]"
External C,train,D04P_NEG__F10,D04P_NEG/D04P_NEG__F10.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,1,1,"[[250.95505617977528, 84.35990338164248, 275.1123595505618, 403.7592592592593]]","[2.8006385962773304, 1.2962850256999778, 1.602535390467763, 0.3645909406129224, 0.1597975178475505, -1.5474492317915671, 0.9251273023868432, 2.3063339553024007, 1.5400063751635087, 4.1044580900364425, 0.3407053746879056, 4.266332639970623, 0.5555555555555556]"
External C,train,D04P_NEG__F102,D04P_NEG/D04P_NEG__F102.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,0,0,[],"[1.864998161960829, 0.101261820301305, 0.3373998298243766, -0.2259017979041182, 0.9906296682393624, -1.339606679345241, 0.8515709150817703, 0.9948240264138838, -2.5991600649550657, 6.277096214240591, 0.0855159526276238, 5.595986353338952, 1.0769230769230769]"
External C,train,D04P_NEG__F104,D04P_NEG/D04P_NEG__F104.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,1,2,"[[232.42969768452423, 242.67348020181993, 272.80269883818187, 403.75925925925924], [272.80269883818187, 84.35990338164245, 326.23595505617976, 403.75925925925924]]","[2.47602837092681, 0.78181725593414, 0.2701315681994502, 0.1666967229338057, 0.0605825185175221, -2.1585964763474945, -0.2934456459243175, 1.89148223430877, 0.6139207542690819, 4.494735332835106, 0.2188825671192365, 4.7362967135428935, 0.6451612903225806]"
External C,train,D04P_NEG__F105,D04P_NEG/D04P_NEG__F105.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,1,2,"[[275.7903969972707, 84.3599033816425, 318.6624303306728, 403.75925925925924], [214.05906366407476, 143.7888254811059, 275.7903969972707, 403.75925925925924]]","[2.65905541669023, 1.579207318184329, 3.1850272459510816, 0.4149065093748303, 0.1732901499720947, -2.5709536942512217, 0.2483673179238428, 3.6898962491293066, 1.6675724190193058, 3.8185490901346695, 0.2947499220938042, 4.0761031709967215, 0.8421052631578947]"
External C,train,D04P_NEG__F109,D04P_NEG/D04P_NEG__F109.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,1,1,"[[233.22265416666656, 84.35990338164251, 315.23907350807445, 403.75925925925924]]","[3.1001083770599887, 1.852158087734848, 3.022030325770229, 0.5277517184281967, 0.1299272447118198, -3.194630082476542, 0.0773937917445493, 4.387416897355293, 2.092063313979646, 4.206292347992649, 0.2232075393239117, 3.9428539812862686, 0.6612903225806451]"
External C,train,D04P_NEG__F11,D04P_NEG/D04P_NEG__F11.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,0,0,[],"[3.0682352512761906, 0.3649764625250486, 1.2586109358539797, 0.0252717857831373, 0.1652150630185281, -1.5056419571546278, 0.8890408491005473, 1.7108518046632124, 1.309167319829149, 8.096475921607734, 0.1617731253509756, 6.450392783006233, 1.2852233676975946]"
External C,train,D04P_NEG__F110,D04P_NEG/D04P_NEG__F110.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,0,1,"[[273.42541436464086, 84.35990338164248, 321.7415730337079, 403.75925925925924]]","[4.288827187305434, 0.0997566377449259, 0.3078158050082487, -0.1463507616187767, 1.0, -2.0467225389042625, -0.4405635297682984, 0.5276059277418733, 2.201470575831981, 5.452657991763774, 0.042471968102583, 4.817052925307968, 0.9545454545454546]"
External C,train,D04P_NEG__F111,D04P_NEG/D04P_NEG__F111.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,1,1,"[[236.47437141853942, 84.35990338164248, 284.10112359550556, 403.75925925925924]]","[4.0083560957176525, 2.4112512332358014, 2.8822680534946348, 0.7269371180410726, 0.0790221212461455, -3.1330276800559, 0.0755396851370231, 4.121265911795072, 3.0166919214636185, 4.337762788815511, 0.2483300884320323, 2.4407272948287724, 0.6666666666666666]"
External C,train,D04P_NEG__F114,D04P_NEG/D04P_NEG__F114.png,D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,negative,DG11,0,0,[],"[2.848337354592327, 0.3097860499796593, 0.5769629790446719, -0.0263238082757635, 0.1393884879275476, -1.2312427180202297, 1.0111495526212744, 1.6732271169644903, 0.9130982550362696, 6.74195852896799, 0.1535726838781387, 6.300614855074002, 1.1071428571428572]"
