seed,condition,study_id,n_windows,seed_positive,seed_negative,det_precision,det_recall,det_f1,mean_iou,median_iou,det_ap50,det_ap75,seed_ba,seed_auroc,seed_auprc,seed_precision,seed_recall,seed_f1,seed_specificity,seed_tp,seed_fp,seed_fn,seed_tn,detection_threshold,seed_threshold
20260725,Seen-domain Control,Seen control,1269,1174,95,0.7877066115702479,0.9225650332728372,0.8498188910560045,0.8691868109390384,0.9081003665924072,0.9150405540710205,0.7481627781058987,0.9371469559759706,0.9777817627544161,0.9968538820193287,0.9913793103448276,0.979557069846678,0.9854327335047129,0.8947368421052632,1150,10,24,85,0.5,0.513
20260725,External A,ST003127,994,312,682,0.8142548596112311,0.8038379530916845,0.8090128755364807,0.8800774841156815,0.907394289970398,0.8259726559030488,0.699558964178016,0.9282934807128356,0.9921775133468682,0.9799168837046234,0.9782608695652174,0.8653846153846154,0.9183673469387755,0.9912023460410557,270,6,42,676,0.5,0.513
20260725,External B,ST003941,1610,966,644,0.8107202680067002,0.7800161160354553,0.7950718685831623,0.8265398805422232,0.8461281955242157,0.7693949617701857,0.5398131251017183,0.8700828157349896,0.9425015752993067,0.9445026988847247,0.8903553299492386,0.9078674948240165,0.8990261404407995,0.8322981366459627,877,108,89,536,0.5,0.513
20260725,External C,ST003514,2630,1989,641,0.8593591047812817,0.9020288307528029,0.8801771294607971,0.875905263208715,0.9027506709098816,0.9160554546114809,0.7949352597664919,0.9611427594358677,0.9880999161535091,0.9939826001196446,0.9870934434692824,0.9612870789341378,0.9740193581253184,0.9609984399375975,1912,25,77,616,0.5,0.513
20260725,External Macro,A/B/C unweighted macro,5234,3267,1967,0.8281114107997377,0.8286276332933142,0.82808729119348,0.8608408759555398,0.885424385468165,0.8371410240949051,0.6781024496820754,0.9198396852945643,0.9742596682665613,0.9728007275696643,0.9519032143279128,0.9115130630475899,0.9304709485016311,0.9281663075415386,3059,139,208,1828,0.5,0.513
20260726,Seen-domain Control,Seen control,1269,1174,95,0.8653278204370939,0.8862673926194797,0.8756724447101016,0.8738804285436766,0.9072803854942322,0.9033198515601885,0.7512436441311334,0.9196539047789832,0.98596790101318,0.9983544700715361,0.9887834339948232,0.9761499148211243,0.982426060865838,0.8631578947368421,1146,13,28,82,0.55,0.488
20260726,External A,ST003127,994,312,682,0.7901498929336188,0.7867803837953091,0.7884615384615384,0.8828170772813523,0.9057472944259644,0.8260971632768392,0.7360147703295414,0.9147398300624108,0.9914678735243251,0.9827574964321332,0.9739776951672863,0.8397435897435898,0.9018932874354562,0.9897360703812317,262,7,50,675,0.55,0.488
20260726,External B,ST003941,1610,966,644,0.7687074829931972,0.8195004029008863,0.7932917316692668,0.84012870222418,0.8633537888526917,0.7759768768060754,0.5637442175205167,0.8643892339544513,0.952343177346556,0.9659852133944837,0.8891170431211499,0.8964803312629399,0.8927835051546392,0.8322981366459627,866,108,100,536,0.55,0.488
20260726,External C,ST003514,2630,1989,641,0.8675811131627539,0.8780032034169781,0.8727610455088232,0.8756428388122658,0.9014295935630798,0.8969174839634907,0.7768594513860432,0.9565402223932095,0.9895156590577341,0.9952673948508404,0.9854997410668047,0.9567621920563097,0.9709183673469388,0.9563182527301092,1903,28,86,613,0.55,0.488
20260726,External Macro,A/B/C unweighted macro,5234,3267,1967,0.8088128296965232,0.8280946633710579,0.8181714385465427,0.8661962061059327,0.8901768922805786,0.8329971746821352,0.6922061464120338,0.9118897621366905,0.9777755699762051,0.9813367015591524,0.9495314931184137,0.8976620376876131,0.9218650533123447,0.9261174865857679,3031,143,236,1824,0.55,0.488
20260727,Seen-domain Control,Seen control,1269,1174,95,0.7454545454545455,0.8929219600725953,0.8125516102394715,0.8479538924568067,0.8781799077987671,0.9016887964869027,0.7123774316312809,0.921388863982785,0.9750336232403838,0.9969993061982299,0.9910952804986642,0.9480408858603067,0.9690901175446234,0.8947368421052632,1113,10,61,85,0.5,0.709
20260727,External A,ST003127,994,312,682,0.8241525423728814,0.8294243070362474,0.8267800212539851,0.8651782559245289,0.8867953419685364,0.8694227154203042,0.7417777539873198,0.8825522595683886,0.9872852282126476,0.9732792682037776,0.9796747967479674,0.7724358974358975,0.8637992831541219,0.9926686217008798,241,5,71,677,0.5,0.709
20260727,External B,ST003941,1610,966,644,0.8510436432637571,0.7228041901692184,0.7816993464052288,0.8325766963570679,0.8481456637382507,0.7914144847370278,0.5553427963142371,0.8643892339544514,0.9343936062137519,0.9390608082273989,0.9064200217627857,0.8623188405797102,0.8838196286472149,0.8664596273291926,833,86,133,558,0.5,0.709
20260727,External C,ST003514,2630,1989,641,0.8721687060661286,0.8942872397223706,0.8830894951891393,0.8640191414285062,0.8849399983882904,0.9404162288606116,0.8074396270738847,0.9445589588289414,0.9889748531117717,0.995152376746131,0.9918032786885246,0.9125188536953243,0.950510604870385,0.9765990639625585,1815,15,174,626,0.5,0.709
20260727,External Macro,A/B/C unweighted macro,5234,3267,1967,0.849121630567589,0.8155052456426121,0.8305229542827844,0.8539246979033677,0.8732936680316925,0.8670844763393145,0.7015200591251473,0.8971668174505938,0.9702178958460571,0.9691641510591026,0.9592993657330925,0.8490911972369773,0.8993765055572406,0.9452424376642102,2889,106,378,1861,0.5,0.709
