condition,attribute,n_finite,missing_count,missing_rate,median,q1,q3,iqr
Train,SNR,7274,0,0.0,2.7801827030035353,2.2656102960570026,3.364643129812393,1.0990328337553903
Train,CV,7274,0,0.0,1.441560263077933,0.9259131523295214,1.8669688650892997,0.9410557127597783
Train,GS,7274,0,0.0,1.511389148347736,0.9652692452228788,2.070805408434452,1.1055361632115732
Train,TPAS,7274,0,0.0,0.38746860778066444,0.19776065521564565,0.5508390158204631,0.35307836060481745
Train,H2B,7274,0,0.0,0.14234442401137376,0.09121003768212829,0.22160500420156135,0.13039496651943305
Train,ZZ,7274,0,0.0,-1.3935001596735082,-2.0260379592630953,-0.8588082256156138,1.1672297336474815
Train,DZZ,7274,0,0.0,0.5048990826721942,0.2843220779717791,0.7477064884659291,0.46338441049415
Train,PCC,7274,0,0.0,2.0862244721977294,1.319152723517089,2.8523378572613955,1.5331851337443065
Train,SKEW,7274,0,0.0,1.6240584270507756,0.8992509123463355,2.315348483030566,1.4160975706842305
Train,DENT,7274,0,0.0,3.638037054791831,2.931171087482646,4.318486698543266,1.38731561106062
Train,DM,7274,0,0.0,0.4463450331890136,0.28236585785866775,0.6653471950741531,0.38298133721548533
Train,ENT,7274,0,0.0,3.6892646529096735,3.0,4.324848729602135,1.3248487296021354
Train,JAG,7274,0,0.0,0.6666666666666666,0.42243589743589743,0.9615384615384616,0.5391025641025642
Seen-domain Control,SNR,1269,0,0.0,2.994214456252372,2.4647743201798105,3.606440667404256,1.1416663472244455
Seen-domain Control,CV,1269,0,0.0,1.5948454922821564,1.1092552535056386,2.027689460680969,0.9184342071753304
Seen-domain Control,GS,1269,0,0.0,1.528436371621467,1.191940284003954,1.885481062048768,0.6935407780448142
Seen-domain Control,TPAS,1269,0,0.0,0.4635434796804194,0.2755738455259673,0.5998064496769318,0.32423260415096444
Seen-domain Control,H2B,1269,0,0.0,0.1375240359077078,0.096944537064932,0.206701582964233,0.10975704589930099
Seen-domain Control,ZZ,1269,0,0.0,-1.2555302802794728,-1.537364559640066,-1.0189978633685275,0.5183666962715385
Seen-domain Control,DZZ,1269,0,0.0,0.5703875067244628,0.4561461572113414,0.7281012032255703,0.2719550460142289
Seen-domain Control,PCC,1269,0,0.0,1.8923304730438493,1.576732940936706,2.256681112652364,0.6799481717156579
Seen-domain Control,SKEW,1269,0,0.0,1.9335736346292327,1.2361114146784926,2.6485163022635407,1.4124048875850481
Seen-domain Control,DENT,1269,0,0.0,3.1412733606643406,2.6253070948503576,3.854827582577168,1.2295204877268104
Seen-domain Control,DM,1269,0,0.0,0.5669386294064754,0.3913344013278307,0.7542616225548169,0.3629272212269862
Seen-domain Control,ENT,1269,0,0.0,3.349483981787688,2.67087997015458,4.126729069922255,1.4558490997676747
Seen-domain Control,JAG,1269,0,0.0,0.7222222222222222,0.5,0.9230769230769232,0.42307692307692324
External A,SNR,994,0,0.0,2.437102815273611,1.997390342503888,2.993540341618459,0.9961499991145712
External A,CV,994,0,0.0,0.9601733882288255,0.7168856745045689,1.1492237862494747,0.4323381117449059
External A,GS,994,0,0.0,0.5797650476348624,0.34039615371054394,1.117962278217035,0.7775661245064911
External A,TPAS,994,0,0.0,0.21132137012298552,0.11201461533373776,0.3106655279488334,0.19865091261509565
External A,H2B,994,0,0.0,0.09543607809259215,0.035282887548757774,0.2159616355427851,0.18067874799402733
External A,ZZ,994,0,0.0,-0.6043432206121715,-1.0810274087322247,-0.36392007208509114,0.7171073366471336
External A,DZZ,994,0,0.0,0.7966389517153234,0.6533040996799713,0.9215642072868889,0.26826010760691765
External A,PCC,994,0,0.0,0.8883652407324474,0.6535033266323572,1.695092143022579,1.0415888163902216
External A,SKEW,994,0,0.0,0.6633843935411095,0.29358616263565224,1.1264638174939456,0.8328776548582935
External A,DENT,994,0,0.0,4.40957070832137,3.4517796451198164,5.570528187464346,2.1187485423445294
External A,DM,994,0,0.0,0.6938454863999518,0.4297555450068115,1.0145237625221464,0.5847682175153348
External A,ENT,994,0,0.0,3.7969902569305862,2.9329948755964357,4.796703248872964,1.8637083732765283
External A,JAG,994,0,0.0,1.1304347826086956,0.9008064516129032,1.25,0.3491935483870968
External B,SNR,1610,0,0.0,2.34191179499855,1.9205607625131675,2.8454829904233336,0.9249222279101661
External B,CV,1610,0,0.0,1.2394104476125745,0.8684536031282043,1.5597015214136096,0.6912479182854053
External B,GS,1610,0,0.0,1.2330292144544714,0.7929334600642877,1.6739048129477034,0.8809713528834158
External B,TPAS,1610,0,0.0,0.288545514546911,0.13509847093875163,0.4163760674819843,0.2812775965432327
External B,H2B,1610,0,0.0,0.20204192029605164,0.12778749795651162,0.29332065989977557,0.16553316194326395
External B,ZZ,1610,0,0.0,-0.9935065999162818,-1.4762177054382617,-0.6394447022255423,0.8367730032127194
External B,DZZ,1610,0,0.0,0.7617213173814985,0.5702608009994736,0.9085003907075129,0.33823958970803925
External B,PCC,1610,0,0.0,1.7094589835674112,1.2528762741274422,2.2627541962801687,1.0098779221527265
External B,SKEW,1610,0,0.0,1.0634825613262513,0.41004744620720746,1.6393825462557186,1.229335100048511
External B,DENT,1610,0,0.0,3.3096837769023564,2.620046259346881,4.10837457739769,1.488328318050809
External B,DM,1610,0,0.0,0.5523709830667372,0.37998141968511606,0.7635149732625857,0.3835335535774696
External B,ENT,1610,0,0.0,2.869051181926132,2.2404506128522077,3.791611887336397,1.5511612744841892
External B,JAG,1610,0,0.0,0.6933760683760684,0.4848484848484848,0.9523809523809524,0.46753246753246763
External C,SNR,2630,0,0.0,2.6360250627836486,2.1651575558061054,3.263765945478907,1.0986083896728016
External C,CV,2630,0,0.0,1.1841007903935625,0.6994326330612819,1.5909141304994159,0.891481497438134
External C,GS,2630,0,0.0,1.517509642444367,0.9180764345575154,2.174304965369579,1.2562285308120638
External C,TPAS,2630,0,0.0,0.2942852264145972,0.10538228138239791,0.4583727157739385,0.3529904343915406
External C,H2B,2626,4,0.001520912547528517,0.16454410458924912,0.09617288696812755,0.2658806126607235,0.16970772569259596
External C,ZZ,2630,0,0.0,-1.7458577616220528,-2.127283718444588,-1.2277581303213605,0.8995255881232276
External C,DZZ,2630,0,0.0,0.5571172832110722,0.32365392852143854,0.8396979286644942,0.5160440001430557
External C,PCC,2630,0,0.0,2.4314556955814206,1.7283032351684067,3.0029295184520426,1.274626283283636
External C,SKEW,2630,0,0.0,1.2955062061785445,0.6083485717134953,1.95143896397963,1.3430903922661346
External C,DENT,2630,0,0.0,4.017925191972489,3.405701938625109,4.84831247106324,1.442610532438131
External C,DM,2630,0,0.0,0.33334984870744455,0.22316049268617102,0.48467118287797695,0.26151069019180595
External C,ENT,2630,0,0.0,3.937703645923478,3.2352953015220924,4.727113155097927,1.4918178535758342
External C,JAG,2630,0,0.0,0.631578947368421,0.38922764227642276,1.0,0.6107723577235773
