source_path,bytes,size_gib,checkpoint_name,uploaded,reason
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\A_image_only_seed_20260725\best_detection.pt,580247866,0.5404,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\A_image_only_seed_20260725\best_seed.pt,580243467,0.5404,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\A_image_only_seed_20260725\last.pt,580198748,0.5404,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\B_attr_only_seed_20260725\best_detection.pt,554007960,0.5160,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\B_attr_only_seed_20260725\best_seed.pt,554003595,0.5160,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\B_attr_only_seed_20260725\last.pt,553958590,0.5159,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\C_naive_concat_seed_20260725\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\C_naive_concat_seed_20260725\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\C_naive_concat_seed_20260725\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\D_gated_fusion_seed_20260725\best_detection.pt,582268934,0.5423,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\D_gated_fusion_seed_20260725\best_seed.pt,582264459,0.5423,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\epoch15_probe\D_gated_fusion_seed_20260725\last.pt,582218320,0.5422,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\A_image_only\best_detection.pt,580247802,0.5404,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\A_image_only\best_seed.pt,580243467,0.5404,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\A_image_only\last.pt,580198748,0.5404,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\B_attr_only\best_detection.pt,554007960,0.5160,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\B_attr_only\best_seed.pt,554003595,0.5160,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\B_attr_only\last.pt,553958590,0.5159,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\C_naive_concat\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\C_naive_concat\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\C_naive_concat\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\D_gated_fusion\best_detection.pt,582268934,0.5423,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\D_gated_fusion\best_seed.pt,582264459,0.5423,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\experiments\D_gated_fusion\last.pt,582218320,0.5422,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\A_image_only\best_detection.pt,580247802,0.5404,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\A_image_only\best_seed.pt,580243467,0.5404,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\A_image_only\last.pt,580198748,0.5404,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\B_attr_only\best_detection.pt,554007960,0.5160,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\B_attr_only\best_seed.pt,554003595,0.5160,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\B_attr_only\last.pt,553958590,0.5159,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\C_naive_concat\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\C_naive_concat\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\C_naive_concat\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\D_gated_fusion\best_detection.pt,582268934,0.5423,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\D_gated_fusion\best_seed.pt,582264459,0.5423,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260726\D_gated_fusion\last.pt,582218320,0.5422,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\A_image_only\best_detection.pt,580247802,0.5404,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\A_image_only\best_seed.pt,580243467,0.5404,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\A_image_only\last.pt,580198748,0.5404,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\B_attr_only\best_detection.pt,554007960,0.5160,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\B_attr_only\best_seed.pt,554003595,0.5160,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\B_attr_only\last.pt,553958590,0.5159,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\C_naive_concat\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\C_naive_concat\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\C_naive_concat\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\D_gated_fusion\best_detection.pt,582268934,0.5423,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\D_gated_fusion\best_seed.pt,582264459,0.5423,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\stability_3seeds_20260729\experiments\seed_20260727\D_gated_fusion\last.pt,582218320,0.5422,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_1\checkpoints\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_1\checkpoints\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_1\checkpoints\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_1\interrupted_attempt_20260811_1318\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_1\interrupted_attempt_20260811_1318\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_1\interrupted_attempt_20260811_1318\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_20260726\checkpoints\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_20260726\checkpoints\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_20260726\checkpoints\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_20260727\checkpoints\best_detection.pt,580488310,0.5406,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_20260727\checkpoints\best_seed.pt,580483915,0.5406,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\domain_generalization\seed_20260727\checkpoints\last.pt,580438624,0.5406,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\nvidia_2000_500_b8_e5\best_detection.pt,580247674,0.5404,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\nvidia_2000_500_b8_e5\best_seed.pt,580243339,0.5404,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\nvidia_2000_500_b8_e5\last.pt,580198620,0.5404,last.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\nvidia_full_10525_2507_b8_e10_image_only\best_detection.pt,580247674,0.5404,best_detection.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\nvidia_full_10525_2507_b8_e10_image_only\best_seed.pt,580243339,0.5404,best_seed.pt,no,large binary model artifact; retained locally
D:\CODE\LipidBench\PeakTruthLab\results\nvidia_full_10525_2507_b8_e10_image_only\last.pt,580198620,0.5404,last.pt,no,large binary model artifact; retained locally
