archive_path,category,bytes,sha256,original_source_path
00_protocol_and_splits/archive_experiment_results.py,archive provenance,15561,b529e14874addb3bcc07604780c5de833122acaa84155ce007a45703307cf7d0,C:\Users\ACANE\Documents\Codex\2026-07-24\yzzx02-lipidbench-git-https-github-com\archive_experiment_results.py
00_protocol_and_splits/source_domain_metadata.csv,canonical metadata,19529,0ee650596fed7b491b7aa1bbac80206cbdd383d5bedad824060c285697a7bece,D:\CODE\LipidBench\PeakTruthLab\datasets\source_domain_metadata.csv
01_pilot_and_image_only/full_image_only_10epochs/attribute_preprocessing.json,pilot/image-only,2651,cd88825f81997e7674d1dd0faab2d09a4d2b118dc21c60346e75ca8eb6c2ecb8,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_full_10525_2507_b8_e10_image_only\attribute_preprocessing.json
01_pilot_and_image_only/full_image_only_10epochs/history.json,pilot/image-only,13506,868d929fe1af2bdeb18b19d4d34dc87b3583fe2abe6232ed65c61d1432d78bf3,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_full_10525_2507_b8_e10_image_only\history.json
01_pilot_and_image_only/full_image_only_10epochs/run_config.json,pilot/image-only,1152,2c30eb906396873426e12b23688a4881712f482b589c4633d998ac04f3fc24e0,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_full_10525_2507_b8_e10_image_only\run_config.json
01_pilot_and_image_only/full_image_only_10epochs/summary.json,pilot/image-only,3665,ced2e8d5baf614274dd970fc75fc6a43dc6280f3177fdad8583fabe39ffdb85e,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_full_10525_2507_b8_e10_image_only\summary.json
01_pilot_and_image_only/pilot_2000_train_500_val/attribute_preprocessing.json,pilot/image-only,2651,cd88825f81997e7674d1dd0faab2d09a4d2b118dc21c60346e75ca8eb6c2ecb8,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_2000_500_b8_e5\attribute_preprocessing.json
01_pilot_and_image_only/pilot_2000_train_500_val/history.json,pilot/image-only,6569,40867b3960f3b52e444da823aabafe27c63441bc1b120dc10ef0e6884f9f888c,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_2000_500_b8_e5\history.json
01_pilot_and_image_only/pilot_2000_train_500_val/run_config.json,pilot/image-only,1141,74b7c30b6356055d638b58405cbcedde94c62d01ebb75a4949259806a81e03c5,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_2000_500_b8_e5\run_config.json
01_pilot_and_image_only/pilot_2000_train_500_val/summary.json,pilot/image-only,3503,51c50d1920e93864ffe455111ae3d7b2991cf156395559d6efe10b7e04ffb9b0,D:\CODE\LipidBench\PeakTruthLab\results\nvidia_2000_500_b8_e5\summary.json
02_mixed_domain_ablation/data_quality/attribute_summary.csv,data quality,8161,450c3f49ea34714be63feaed9910cf7533d33b8da40f352dc22f918d9fb9a1fa,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\data_quality\attribute_summary.csv
02_mixed_domain_ablation/data_quality/box_geometry_summary.csv,data quality,3048,f5ff958187cc97044cb9fdc41611cf35e9303012dcd683644e6c6f6eb486c0ed,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\data_quality\box_geometry_summary.csv
02_mixed_domain_ablation/data_quality/data_quality_report.json,data quality,5698,de52658f867a1fb304d0022315e173122e3a92557d44bf6be7d07f38d17933d9,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\data_quality\data_quality_report.json
02_mixed_domain_ablation/data_quality/dataset_split_summary.csv,data quality,843,968c5edfbc5a9c9577edc2f66837be77d98514c6387dec8213bd17104874c985,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\data_quality\dataset_split_summary.csv
02_mixed_domain_ablation/data_quality/image_level_quality.csv,data quality,1206204,52f73779e493815d2742a6776383339b9f5a825f101579d2d79c8b2f42024bda,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\data_quality\image_level_quality.csv
02_mixed_domain_ablation/data_quality/peak_count_distribution.csv,data quality,1188,7255ac0386d61aae0ac58340c9ef225ebe4e2e632b6cbaa09decd51855be9bb9,D:\CODE\LipidBench\PeakTruthLab\results\paper_final_reviewed_20260725\data_quality\peak_count_distribution.csv
