source_mzml_name,resolved_path,sha256,size_bytes,duplicate_path_count,all_matching_paths,seed_job_count,peak_job_count,eic_tolerance_ppm
0001_MAY_RoCI-StEM_CP-287.mzML,D:\LipidBench\data\ceshiji\0001_MAY_RoCI-StEM_CP-287.mzML,2a011e6ba1559aef1406b14d28bfd6e903d66c99545c14b4134be47eff974dc5,35478873,1,D:\LipidBench\data\ceshiji\0001_MAY_RoCI-StEM_CP-287.mzML,465,258,15.0
0021_MAY_ROCI-StEM_HN_575.mzML,D:\LipidBench\data\ceshiji\0021_MAY_ROCI-StEM_HN_575.mzML,24e2249d26cd73d8841ae216b6b517c79da8452afcfbb88d39ed89f40969029d,31891856,1,D:\LipidBench\data\ceshiji\0021_MAY_ROCI-StEM_HN_575.mzML,502,217,15.0
060-0145-005_017.mzML,D:\LipidBench\data\ceshiji\060-0145-005_017.mzML,eb4ff7d270908ece71732e6c7bd9e169d97f610bd974b4cc9c9ffa05a28d2f58,81304289,1,D:\LipidBench\data\ceshiji\060-0145-005_017.mzML,504,231,15.0
060-0145-006_018.mzML,D:\LipidBench\data\ceshiji\060-0145-006_018.mzML,754c55900aecbfd208fbe7d738ae4b22b74a3daedbc2cac0e3cfa55459db6c21,77429673,1,D:\LipidBench\data\ceshiji\060-0145-006_018.mzML,515,728,10.0
20180321_S00033936_P.mzML,D:\LipidBench\data\ceshiji\20180321_S00033936_P.mzML,84e1d7d18c3691882d78aec62bf2813514dd427950091292d85f751f7291d997,92897533,1,D:\LipidBench\data\ceshiji\20180321_S00033936_P.mzML,749,1051,10.0
20180323_S00033882_N.mzML,D:\LipidBench\data\ceshiji\20180323_S00033882_N.mzML,98739cf778b5be128ad87abf40260d9cd44b68ee5f8b1c9dbf200f73a3c5cf00,27149924,1,D:\LipidBench\data\ceshiji\20180323_S00033882_N.mzML,683,870,10.0
6545A_20230727_-_57_18.mzML,D:\LipidBench\data\ceshiji\6545A_20230727_-_57_18.mzML,90ae5cc340dae2cda9d443c148fb900a1569b3ccf3d0245b5170d195f9deb05f,28188083,1,D:\LipidBench\data\ceshiji\6545A_20230727_-_57_18.mzML,521,844,10.0
6545A_20230729_+_07_9.mzML,D:\LipidBench\data\ceshiji\6545A_20230729_+_07_9.mzML,a9fef12af454c18eed1e61e9b5997376b819e29fcbd50cc238284369be23fe36,16550982,1,D:\LipidBench\data\ceshiji\6545A_20230729_+_07_9.mzML,519,1084,10.0
6545_20201012_14_+_QC 01.mzML,D:\LipidBench\data\ceshiji\6545_20201012_14_+_QC 01.mzML,700c2ab9ad5f17916642b61c513431abd326df22c214fe3acefaf5c912ba211e,38358723,1,D:\LipidBench\data\ceshiji\6545_20201012_14_+_QC 01.mzML,512,703,10.0
6545_20201012_22_+_QC 03.mzML,D:\LipidBench\data\ceshiji\6545_20201012_22_+_QC 03.mzML,2b00e98446578eb02fcef52920ddf3b41a04f62cb1122478208d731a68d5c355,36908743,1,D:\LipidBench\data\ceshiji\6545_20201012_22_+_QC 03.mzML,515,729,10.0
AG-88-11_r12-.mzML,D:\LipidBench\data\ceshiji\AG-88-11_r12-.mzML,9b1f0bc4327f06268f1f96dca1c2dca635929f5ab2d751576ca6caba5dd00695,15176361,1,D:\LipidBench\data\ceshiji\AG-88-11_r12-.mzML,520,602,10.0
AG-88-11_r2+.mzML,D:\LipidBench\data\ceshiji\AG-88-11_r2+.mzML,d56ddfca197080e13e510f1a0f7f7b34111a466b50aeab498b3e60a87375f890,19001099,1,D:\LipidBench\data\ceshiji\AG-88-11_r2+.mzML,516,694,10.0
Blood-15V.mzML,D:\LipidBench\data\ceshiji\Blood-15V.mzML,10d86f234a706b003f221378fe478a66d9700fc19f3c0c6f82f2fcf1040b1aec,179018103,1,D:\LipidBench\data\ceshiji\Blood-15V.mzML,523,1042,15.0
Blood-30V.mzML,D:\LipidBench\data\ceshiji\Blood-30V.mzML,59d14230b34719bde785429bba8dde84e9d6f89564e5ee027323322c34f81837,643193843,1,D:\LipidBench\data\ceshiji\Blood-30V.mzML,520,845,15.0
D03P_POS.mzML,D:\LipidBench\data\ceshiji\D03P_POS.mzML,221ba4b6801d2691ec3516701798a4c7963c16425ed7031f7a4e60fbfc64f4d3,18091071,1,D:\LipidBench\data\ceshiji\D03P_POS.mzML,514,1142,15.0
D04P_NEG.mzML,D:\LipidBench\data\ceshiji\D04P_NEG.mzML,61de9bd4d8235942ca9b90963d65ceb950b6128178b3cc43cf5b024fe6b47ebe,24037056,1,D:\LipidBench\data\ceshiji\D04P_NEG.mzML,302,378,15.0
D06P_POS.mzML,D:\LipidBench\data\ceshiji\D06P_POS.mzML,45f9092b7716a7c5374f7a3c17478339ce560a0bee241d8f56f26130a410cd40,18067108,1,D:\LipidBench\data\ceshiji\D06P_POS.mzML,517,992,15.0
D07P_NEG.mzML,D:\LipidBench\data\ceshiji\D07P_NEG.mzML,7ba4e14e9f7a6f34f50bb4d35c0112f8d11eb9bc9a39803f743e5e19c6e9144d,24072893,1,D:\LipidBench\data\ceshiji\D07P_NEG.mzML,284,320,15.0
HepG2-30V.mzML,D:\LipidBench\data\ceshiji\HepG2-30V.mzML,e4bf660a6d54cca6b3ee1131f4c8ef9fe9dbb5e01cb9f61d6090e8901f39e61f,942006853,1,D:\LipidBench\data\ceshiji\HepG2-30V.mzML,524,695,15.0
