Feature_ID,mz,RT,RTmin,RTmax,parent_masstrack_id,peak_area,cSelectivity,goodness_fitting,snr,detection_counts,SERUM-1_copy_P1-E4_1_step1_1
F1,400.3031,1.661,1.577,1.712,19,55970,1.0,0.66,6,1,72096
F2,513.3518,1.644,1.594,1.686,1813,31571,1.0,0.97,5,1,44175
F3,552.358,1.695,1.628,1.796,2376,104415,1.0,0.82,8,1,126903
F4,468.386,1.72,1.619,1.821,1121,2107609,1.0,0.99,32,1,2172064
F5,513.3813,2.175,2.074,2.276,1814,199614,1.0,0.9,14,1,224988
F6,400.3394,5.392,5.291,5.493,21,560835,1.0,1.0,42,1,588043
F7,552.3952,2.486,2.386,2.588,2379,1861912,1.0,0.98,138,1,1886912
F8,552.3952,5.274,5.198,5.366,2379,97476,0.85,0.89,9,1,118476
F9,468.4372,1.636,1.535,1.737,1125,6226447,1.0,0.96,390,1,6251447
F10,513.4155,1.754,1.653,1.855,1816,806441,1.0,0.99,34,1,835246
F11,552.4279,1.577,1.476,1.67,2380,430972,1.0,0.99,38,1,453369
F12,468.4799,1.628,1.577,1.729,1127,258962,1.0,0.71,22,1,279233
F13,552.4433,2.478,2.411,2.571,2381,73689,1.0,0.88,7,1,95844
F14,513.8853,2.15,2.099,2.251,1818,88403,1.0,0.88,8,1,111770
F15,469.3081,5.459,5.392,5.552,1138,63597,1.0,0.98,5,1,85022
F16,552.4745,1.594,1.51,1.695,2382,154326,0.87,0.64,10,1,180862
F17,552.5025,1.484,1.417,1.586,2383,167670,0.86,0.91,11,1,191562
F18,469.4407,1.628,1.526,1.729,1144,2020076,1.0,0.97,156,1,2045076
F19,514.2963,8.221,8.053,8.895,1823,247524,1.0,0.77,2,1,415505
F20,552.8958,2.478,2.377,2.579,2384,505601,1.0,0.99,35,1,532238
F21,470.3904,1.712,1.619,1.813,1146,167593,1.0,0.95,11,1,190254
F22,514.3896,1.686,1.619,1.779,1829,58842,1.0,0.81,6,1,81331
F23,401.2842,1.678,1.636,1.779,39,101015,1.0,0.88,8,1,122346
F24,553.3862,1.619,1.518,1.72,2392,2299712,1.0,0.98,214,1,2324712
F25,514.4172,1.754,1.653,1.855,1830,173727,1.0,0.98,11,1,197327
F26,470.4443,1.636,1.56,1.737,1147,362887,1.0,0.96,29,1,389536
