Feature_ID,mz,RT,RTmin,RTmax,parent_masstrack_id,peak_area,cSelectivity,goodness_fitting,snr,detection_counts,SERUM-1_copy_P1-E4_1_step1_1
F1,513.3518,1.644,1.594,1.686,1813,31571,1.0,0.97,5,1,44175
F2,552.358,1.695,1.628,1.796,2376,104415,1.0,0.82,8,1,126903
F3,468.386,1.72,1.619,1.821,1121,2107609,1.0,0.99,32,1,2172064
F4,513.3813,2.175,2.074,2.276,1814,199614,1.0,0.9,14,1,224988
F5,400.3394,5.392,5.291,5.493,21,560835,1.0,1.0,42,1,588043
F6,552.3952,2.486,2.386,2.588,2379,1861912,1.0,0.98,138,1,1886912
F7,552.3952,5.274,5.198,5.366,2379,97476,0.85,0.89,9,1,118476
F8,468.4372,1.636,1.535,1.737,1125,6226447,1.0,0.96,390,1,6251447
F9,513.4155,1.754,1.653,1.855,1816,806441,1.0,0.99,34,1,835246
F10,552.4279,1.577,1.476,1.67,2380,430972,1.0,0.99,38,1,453369
F11,468.4799,1.628,1.577,1.729,1127,258962,1.0,0.71,22,1,279233
F12,552.4433,2.478,2.411,2.571,2381,73689,1.0,0.88,7,1,95844
F13,513.8853,2.15,2.099,2.251,1818,88403,1.0,0.88,8,1,111770
F14,469.3081,5.459,5.392,5.552,1138,63597,1.0,0.98,5,1,85022
F15,552.5025,1.484,1.417,1.586,2383,167670,0.86,0.91,11,1,191562
F16,469.4407,1.628,1.526,1.729,1144,2020076,1.0,0.97,156,1,2045076
F17,552.8958,2.478,2.377,2.579,2384,505601,1.0,0.99,35,1,532238
F18,470.3904,1.712,1.619,1.813,1146,167593,1.0,0.95,11,1,190254
F19,514.3896,1.686,1.619,1.779,1829,58842,1.0,0.81,6,1,81331
F20,401.2842,1.678,1.636,1.779,39,101015,1.0,0.88,8,1,122346
F21,553.3862,1.619,1.518,1.72,2392,2299712,1.0,0.98,214,1,2324712
F22,514.4172,1.754,1.653,1.855,1830,173727,1.0,0.98,11,1,197327
F23,470.4443,1.636,1.56,1.737,1147,362887,1.0,0.96,29,1,389536
F24,401.3412,1.594,1.51,1.695,43,136240,1.0,0.97,10,1,161821
F25,401.3412,5.383,5.316,5.476,43,141771,1.0,1.0,12,1,162944
F26,553.3977,2.461,2.386,2.562,2393,88926,1.0,0.77,9,1,112007
F27,515.0266,3.303,3.219,3.388,1831,144550,1.0,0.89,14,1,167036
F28,472.2667,1.644,1.552,1.746,1150,323864,1.0,0.97,16,1,350333
F29,553.4332,1.586,1.493,1.678,2394,300176,1.0,0.91,29,1,323487
F30,553.8693,2.47,2.394,2.571,2395,288980,1.0,0.92,26,1,310734
F31,472.3568,1.67,1.586,1.771,1157,80176,1.0,0.96,5,1,103060
F32,515.4063,1.678,1.636,1.729,1842,20711,0.96,0.9,5,1,32715
F33,554.3707,2.47,2.369,2.571,2397,192031,1.0,0.96,14,1,218717
F34,473.2624,1.644,1.56,1.746,1160,1133248,1.0,0.99,69,1,1166309
F35,516.2923,1.644,1.569,1.746,1848,191512,1.0,0.98,15,1,216655
F36,554.3896,1.611,1.51,1.712,2398,785456,1.0,0.98,74,1,810456
F37,554.3896,5.375,5.274,5.476,2398,2327040,1.0,1.0,211,1,2352040
F38,516.3845,1.703,1.602,1.804,1854,119267,1.0,0.87,8,1,145597
F39,554.4372,1.577,1.476,1.678,2401,319012,1.0,0.99,20,1,343860
F40,554.4372,5.366,5.316,5.459,2401,110478,1.0,0.9,13,1,129690
F41,473.3131,1.628,1.526,1.712,1165,136501,1.0,0.95,3,1,184356
F42,517.3678,1.762,1.67,1.863,1866,289353,1.0,0.95,19,1,314253
F43,555.3022,1.653,1.577,1.754,2404,130495,1.0,0.97,11,1,152845
F44,517.3787,1.653,1.619,1.72,1867,102039,1.0,0.74,14,1,116952
F45,473.3416,1.695,1.619,1.796,1169,387169,1.0,0.89,23,1,410669
F46,404.2647,1.586,1.535,1.636,95,47998,1.0,0.97,6,1,63126
F47,555.3502,4.398,4.297,4.499,2407,239612,1.0,0.99,18,1,265067
F48,474.2648,1.644,1.569,1.746,1178,374474,1.0,0.99,36,1,401456
F49,555.3926,1.619,1.518,1.72,2410,243450,1.0,0.99,21,1,270880
F50,555.3926,5.383,5.282,5.484,2410,723311,1.0,1.0,63,1,750333
F51,474.3101,1.628,1.602,1.678,1182,27774,1.0,0.9,5,1,40791
F52,555.4417,1.586,1.493,1.611,2412,70129,1.0,0.84,8,1,87995
F53,406.2889,1.636,1.602,1.695,136,41287,1.0,0.95,6,1,55230
F54,555.8518,4.398,4.322,4.474,2413,102688,1.0,0.93,10,1,124082
F55,518.3189,3.632,3.573,3.724,1876,104623,0.76,0.78,11,1,123623
F56,518.3189,5.392,5.291,5.493,1876,2508430,1.0,0.99,176,1,2533430
F57,518.3634,5.392,5.316,5.493,1881,128774,1.0,0.97,11,1,150531
F58,556.3056,1.636,1.577,1.703,2416,68551,1.0,0.99,7,1,86193
F59,474.3464,1.686,1.619,1.762,1187,91370,0.83,0.93,8,1,110762
F60,518.372,1.754,1.661,1.838,1882,84313,1.0,0.89,6,1,108097
F61,475.2653,1.644,1.586,1.703,1196,69407,1.0,0.97,8,1,86644
F62,556.3936,1.619,1.552,1.644,2422,41660,1.0,0.77,7,1,57137
F63,556.3936,5.383,5.316,5.459,2422,129179,1.0,1.0,13,1,147875
F64,519.3219,5.392,5.291,5.493,1891,716684,1.0,1.0,47,1,746375
F65,475.3294,1.619,1.586,1.67,1200,29784,1.0,0.89,5,1,42479
F66,519.3993,1.636,1.543,1.737,1893,224195,1.0,0.92,23,1,249010
F67,556.4385,1.796,1.695,1.897,2424,3163167,1.0,0.97,50,1,3227574
F68,476.3115,1.602,1.535,1.636,1211,45572,0.73,0.77,5,1,60500
F69,520.3294,2.605,2.503,2.706,1894,1028960,1.0,0.99,16,1,1117033
F70,556.8932,2.436,2.36,2.503,2427,90630,1.0,0.79,10,1,110082
F71,408.3046,1.636,1.56,1.737,178,659061,1.0,0.98,64,1,685135
F72,476.3316,3.152,3.051,3.253,1213,164521,1.0,0.99,11,1,190599
F73,557.4083,2.301,2.2,2.402,2432,478718,1.0,0.99,31,1,507226
F74,520.3391,5.383,5.282,5.484,1895,15895637,1.0,1.0,1171,1,15920637
F75,408.3647,1.653,1.552,1.754,180,305076,1.0,0.97,9,1,347733
F76,520.3566,3.514,3.43,3.615,1897,679782,1.0,0.92,47,1,696330
F77,476.667,3.135,3.076,3.16,1216,34245,1.0,0.81,5,1,48372
F78,557.441,1.796,1.695,1.897,2433,1046539,1.0,0.99,36,1,1079496
F79,476.8398,2.251,2.192,2.352,1217,151600,1.0,0.97,15,1,169874
F80,557.449,1.678,1.577,1.712,2434,263816,1.0,0.96,26,1,281522
F81,520.3653,3.43,3.388,3.463,1898,75717,0.87,0.96,14,1,86965
F82,557.9107,2.268,2.209,2.369,2436,199956,1.0,0.9,16,1,218095
F83,477.3069,2.503,2.402,2.605,1230,223402,1.0,0.99,9,1,260371
F84,558.293,5.366,5.282,5.468,2438,142712,1.0,0.99,11,1,166370
F85,520.3741,2.588,2.486,2.646,1899,80807,1.0,0.87,6,1,101825
F86,520.3741,3.388,3.32,3.421,1899,40259,0.97,0.95,5,1,56649
F87,477.3165,1.661,1.611,1.695,1231,35284,1.0,0.98,5,1,45688
F88,409.3079,1.636,1.577,1.729,201,172722,1.0,0.98,17,1,196318
F89,409.3387,1.67,1.594,1.771,202,83604,1.0,0.88,7,1,107663
F90,520.4078,1.636,1.577,1.737,1900,92292,1.0,0.71,10,1,112441
