Feature_ID,mz,RTmin,RT,RTmax,Height,Area,Estimated noise,S/N,Sharpness,Gaussian similarity,Ideal slope,Symmetry
F1,286.83491,0.032,0.221,1.479,2276,128522,1.0,2276.317,4.477,0.601,0.991,0.488
F2,106.89904,0.032,0.307,1.911,2975,160218,789.647,3.7678,6.715,0.701,0.976,0.61
F3,227.87528,0.032,0.307,0.652,2938,98902,686.074,2.91966,13.179,0.711,0.995,0.634
F4,271.92908,0.032,0.307,2.344,4572,270085,1485.092,3.0785,9.381,0.8,0.986,0.756
F5,275.87812,0.032,0.307,1.565,3569,201022,1.0,3569.185,14.11,0.668,1.0,0.466
F6,337.87437,0.032,0.307,2.43,2296,122177,1.0,2296.479,8.723,0.791,0.951,0.634
F7,158.84646,0.032,0.393,2.084,28738,1754551,2567.289,11.19404,18.689,0.921,1.0,0.861
F8,173.88518,0.032,0.393,2.344,2832,150247,1.0,2831.553,6.532,0.845,1.0,0.798
F9,228.82078,0.032,0.393,2.43,5603,321964,1.0,5603.161,14.032,0.781,1.0,0.756
F10,211.9464,0.135,0.48,1.825,12627,645724,2002.661,6.30488,14.868,0.851,1.0,0.861
F11,273.94477,0.032,0.48,1.479,9812,608571,1675.809,5.73945,14.803,0.683,1.0,0.565
F12,147.95678,0.032,0.566,0.825,10269,432284,2139.308,3.50819,12.472,0.866,1.0,0.756
F13,181.91721,0.032,0.566,2.344,20729,1272250,2671.46,7.75955,19.583,0.819,1.0,0.756
F14,193.81528,0.032,0.566,1.911,70735,4217040,3396.427,20.82639,28.016,0.905,1.0,0.861
F15,247.85223,0.032,0.566,1.565,3681,181181,1.0,3680.597,14.254,0.844,1.0,0.861
F16,249.90577,0.032,0.566,1.17,6088,344377,2741.827,1.51317,15.123,0.532,0.971,0.488
F17,306.70346,0.032,0.566,1.911,1586,86000,1.0,1586.381,4.951,0.901,1.0,0.885
F18,183.83457,0.135,0.652,1.911,2255,111563,1.0,2254.622,5.018,0.894,0.914,0.969
F19,184.87794,0.032,0.652,2.084,12229,702314,2400.022,5.09517,15.716,0.895,1.0,0.861
F20,223.8483,0.032,0.652,1.911,43296,2596992,2207.173,19.61594,26.744,0.768,1.0,0.634
