Feature_ID,mz,mzmin,mzmax,RT,RTmin,RTmax,intensity
F1,59.0617,59.0611,59.0625,4.0240,2.3360,4.2280,75400.6400
F2,61.0409,61.0399,61.0417,2.8910,2.6870,3.2310,21925.6370
F3,100.0757,100.0742,100.0771,1.5760,0.0240,2.2560,6189.3853
F4,104.1070,104.1066,104.1079,5.0670,5.0330,5.1350,29664.7170
F5,113.1632,113.1627,113.1637,5.0560,5.0220,5.1120,18226.5350
F6,114.0662,114.0656,114.0666,4.7720,4.7270,4.8290,77042.8700
F7,118.0859,118.0845,118.0876,10.1890,8.6030,12.7160,28829.6050
F8,118.0861,118.0847,118.0874,6.9250,6.2790,8.5910,70349.4700
F9,124.0866,124.0850,124.0880,4.8400,0.0460,6.3250,127027.9450
F10,144.1020,144.1009,144.1023,6.7890,6.7440,6.9250,139203.7000
F11,162.1127,162.1123,163.1166,7.4350,7.3450,7.5490,174036.3100
F12,165.1312,165.1305,165.1320,7.4350,7.3560,7.5030,24782.9860
F13,182.1174,182.1155,182.1189,2.3020,2.2450,2.3810,48319.2770
F14,182.1175,182.1164,182.1189,3.6730,3.6050,3.8320,18079.9040
F15,195.1225,195.1210,195.1251,1.5200,0.0120,1.5880,9354.6020
F16,195.1226,195.1203,195.1249,2.3920,2.3470,4.1830,8650.9840
F17,204.1053,204.1045,204.1066,1.9730,1.7580,2.2450,40656.9400
F18,204.1233,204.1225,204.1238,6.9250,6.8800,6.9930,38205.8120
F19,205.0686,205.0676,205.0694,7.4130,7.3450,7.5260,66833.9450
F20,205.0797,205.0791,205.0807,2.9020,2.8570,3.0380,46456.9380
F21,214.9182,214.9158,214.9228,9.9170,9.8950,10.1210,9347.2380
F22,226.9518,226.9503,226.9530,7.4130,7.2430,7.5260,19328.0590
F23,228.1962,228.1951,228.1968,1.0890,1.0660,1.1800,23419.2300
F24,239.1491,239.1478,239.1510,1.6900,1.6440,1.7800,12761.6490
F25,246.1495,246.1488,247.1532,2.9480,2.8910,3.1400,83891.0800
F26,283.1758,283.1744,283.1778,1.7120,1.6900,1.8140,7842.0425
F27,289.2284,289.2273,289.2292,2.4600,2.4150,2.5400,35388.1400
F28,290.1393,290.1373,290.1404,2.9930,2.9360,3.0270,8422.8990
F29,290.1399,290.1377,291.1440,3.8200,3.6620,4.5120,585217.9000
