Feature_ID,mz,RTmin,RT,RTmax,npeaks,sn,HILIC-Pos-SWATH-25Da-20140701_08_GB004467_Swath25Da.mzML
F1,61.0409,2.8000,2.8910,2.9820,1.0000,32.0000,29410.8067
F2,104.1069,4.9990,5.0670,5.1580,1.0000,812.0000,32723.8006
F3,113.1632,5.0100,5.0560,5.1240,1.0000,1153.0000,18793.3309
F4,114.0662,4.7040,4.7720,4.8520,1.0000,1028.0000,79955.2985
F5,118.0862,6.8460,6.9250,7.0160,1.0000,111.0000,81633.6326
F6,144.1020,6.7330,6.7890,6.8690,1.0000,1699.0000,160886.6505
F7,145.1045,6.7440,6.7890,6.8350,1.0000,549.0000,13354.8117
F8,162.1127,7.3330,7.4350,7.5260,1.0000,2448.0000,203908.1992
F9,165.1311,7.3330,7.4350,7.5150,1.0000,5213.0000,28268.6729
F10,182.1175,3.5820,3.6840,3.7980,1.0000,47.0000,21341.1061
F11,182.1178,2.2220,2.2900,2.3810,1.0000,189.0000,45811.9956
F12,188.0710,6.4720,6.5170,6.5510,1.0000,5290.0000,11189.7535
F13,195.1227,1.5540,1.6330,1.7240,1.0000,34.0000,24124.0604
F14,196.1180,8.1610,8.2170,8.2740,1.0000,198.0000,12547.1784
F15,204.1053,1.7920,1.9960,2.1770,1.0000,66.0000,51825.1668
F16,204.1233,6.8690,6.9250,7.0050,1.0000,2320.0000,42464.2859
F17,205.0686,7.3330,7.4240,7.5490,1.0000,16224.0000,72324.0673
F18,205.0797,2.8460,2.9020,3.0040,1.0000,444.0000,57993.4014
F19,216.0864,7.9340,7.6510,7.9790,4.0000,3348.0000,27304.1589
F20,216.0862,6.7780,6.9820,7.2770,1.0000,3516.0000,74535.7515
F21,216.0864,8.3990,8.6710,8.9650,1.0000,3736.0000,95789.4955
F22,228.1962,1.0210,1.1000,1.1800,1.0000,97.0000,29436.5800
F23,239.1491,1.5990,1.6900,1.7800,1.0000,40.0000,17726.7218
F24,246.1495,2.8680,2.9590,3.0500,1.0000,493.0000,100529.4763
F25,247.1525,2.8910,2.9590,3.0500,1.0000,69.0000,18283.6615
F26,267.1709,5.3960,5.4300,5.4750,1.0000,401.0000,17061.7214
F27,289.2284,2.4040,2.4600,2.5510,1.0000,340.0000,39292.9179
F28,290.1400,3.6390,3.8320,4.0580,1.0000,211.0000,751752.0445
F29,291.1430,3.6840,3.8320,4.0240,1.0000,189.0000,143698.9069
F30,300.1480,2.8800,2.9480,3.0610,1.0000,107.0000,35594.5024
F31,300.1824,5.4070,5.4520,5.5090,1.0000,305.0000,19659.6048
F32,303.1992,2.2340,2.2900,2.3580,1.0000,70.0000,100848.2878
F33,304.1554,2.2000,2.2900,2.3920,1.0000,3965.0000,7670138.1013
F34,304.3001,1.6220,1.7240,1.7920,1.0000,30.0000,17820.3491
F35,304.8912,2.2560,2.2900,2.3130,1.0000,13978.0000,19787.7758
F36,305.1589,2.2110,2.2900,2.3920,1.0000,2234.0000,2351997.5310
F37,306.1609,2.2220,2.2900,2.3810,1.0000,754.0000,388110.2631
F38,307.1626,2.2340,2.3020,2.3470,1.0000,134.0000,46790.5688
F39,320.1496,2.8570,2.9480,3.0840,1.0000,19.0000,35868.8841
F40,323.1629,5.3050,5.3730,5.4640,1.0000,68.0000,70240.4419
F41,323.6646,5.2710,5.3730,5.4640,1.0000,72.0000,32445.8866
F42,330.1705,2.1200,2.1770,2.2680,1.0000,19249.0000,71259.4427
F43,330.1717,5.1800,5.3330,5.3390,2.0000,2069.0000,892136.1545
F44,330.6728,5.1800,5.3330,5.3390,2.0000,10587.0000,520236.2108
F45,331.1744,5.1920,5.3330,5.3390,2.0000,273.0000,100987.9603
F46,331.6752,5.2030,5.2600,5.3390,1.0000,20.0000,20672.1977
F47,332.3314,1.5540,1.6330,1.6900,1.0000,48.0000,11477.4805
F48,338.3426,0.9300,0.9980,1.0780,1.0000,252.0000,120998.7518
F49,339.3460,0.9640,0.9980,1.0780,1.0000,199.0000,29862.6495
F50,344.8757,9.8830,9.9290,10.0310,1.0000,303.0000,10428.7145
F51,346.0101,8.2170,8.4550,8.3870,2.0000,32.0000,45614.4605
F52,347.0173,8.2170,8.4440,8.3870,2.0000,128.0000,92659.6989
F53,349.0180,9.3510,9.3960,9.4530,1.0000,5890.0000,15064.5531
F54,364.1763,3.7750,3.9220,4.0360,1.0000,18.0000,30743.8109
F55,369.3520,0.8400,0.9760,1.0660,1.0000,64.0000,40216.1413
F56,371.1016,0.8740,0.9420,1.0210,1.0000,281.0000,22079.8567
F57,388.2547,1.7350,1.8260,1.9050,1.0000,26.0000,15417.0226
F58,400.3056,0.8740,1.0320,1.0660,1.0000,726.0000,13418.2379
F59,418.2438,0.9080,0.9980,1.0660,1.0000,84.0000,11488.0419
F60,419.3165,0.8400,0.9300,1.0100,1.0000,36.0000,20872.6739
F61,426.3583,3.2760,3.4350,3.7070,1.0000,78.0000,37125.6578
F62,429.3736,0.8740,0.9420,1.0320,1.0000,457.0000,26756.1018
F63,430.3805,0.8740,0.9420,1.0320,1.0000,178.0000,28070.3905
F64,430.9140,7.3220,7.4580,7.5490,1.0000,45.0000,29429.4051
F65,433.2565,6.8350,6.8800,6.9710,1.0000,404.0000,100235.4408
F66,434.2589,6.8350,6.8800,6.9710,1.0000,559.0000,27839.9803
F67,463.1310,0.9190,0.9530,1.0210,1.0000,1102.0000,14870.3850
F68,468.3089,5.2600,5.2940,5.3730,1.0000,112.0000,15985.4150
F69,478.2227,5.1800,5.2600,5.3390,1.0000,26.0000,32532.6386
F70,478.2230,2.9020,3.0160,3.1060,1.0000,22.0000,42414.6062
F71,478.2940,5.3730,5.4520,5.4980,1.0000,90.0000,21068.1528
F72,488.3590,1.0320,1.0660,1.1230,1.0000,679.0000,30342.0194
F73,494.3242,5.1580,5.2370,5.2940,1.0000,64.0000,46137.7627
F74,495.3287,5.2030,5.2370,5.2710,1.0000,77.0000,15562.3632
F75,496.3418,5.1350,5.2140,5.2940,1.0000,10542.0000,1244631.4362
F76,497.3451,5.1350,5.2140,5.2940,1.0000,94.0000,327576.0242
