Feature_ID,mz,RTmin,RT,RTmax,npeaks,sn,NIST_Full scan_1_POS.mzML
F1,40.4321,12.8490,12.8830,12.9330,1.0000,5503.0000,14238.5775
F2,59.0609,5.5810,5.2390,5.7810,10.0000,96786.0000,528843.5366
F3,59.0609,16.1500,16.5420,16.2670,6.0000,107677.0000,587607.0917
F4,59.0609,12.5660,12.5660,12.6990,4.0000,97705.0000,752825.4953
F5,59.0608,18.8670,18.7170,18.9840,4.0000,15393.0000,104809.6513
F6,59.0609,6.4810,7.1480,6.8640,5.0000,103859.0000,775346.6675
F7,59.0609,14.6330,15.2660,15.0160,5.0000,107313.0000,780247.6246
F8,59.0609,14.1160,14.2000,14.2500,5.0000,122611.0000,985773.2139
F9,59.0609,13.2990,13.2160,13.4830,3.0000,97179.0000,887256.5208
F10,59.0609,8.0980,8.5650,8.4310,3.0000,102176.0000,1407784.2185
F11,59.0609,9.9990,10.1990,10.3320,1.0000,100515.0000,1753884.9451
F12,59.0609,9.6150,9.7480,9.9990,1.0000,101839.0000,2032538.7085
F13,59.0609,8.8320,9.2150,9.5980,1.0000,102265.0000,4290404.7019
F14,59.0609,16.9500,17.7500,18.3510,1.0000,103566.0000,6692606.4373
F15,59.0609,10.6320,11.4820,12.1820,1.0000,160984.0000,9734004.8023
F16,64.9777,16.1670,16.2170,16.2670,5.0000,3865.0000,18982.0093
F17,64.9777,16.8170,17.2000,17.0840,3.0000,4318.0000,35959.8585
F18,64.9777,17.8500,17.9840,18.0500,1.0000,7.0000,50186.1040
F19,64.9773,10.0650,10.1320,10.1820,1.0000,6.0000,8691.2616
F20,64.9778,0.7130,0.7800,0.8630,1.0000,51.0000,115006.0694
F21,67.0540,3.6800,3.7140,3.7640,1.0000,6.0000,10322.7714
F22,67.0549,9.7650,9.7980,9.8480,1.0000,13.0000,5788.7706
F23,74.0969,15.5330,15.5830,15.6670,1.0000,6.0000,11041.7988
F24,76.9978,0.7460,0.7960,0.8630,1.0000,12.0000,9015.2996
F25,78.9524,4.2800,4.3300,4.3800,1.0000,6.0000,6726.5335
F26,80.0499,12.8830,12.9160,12.9660,1.0000,7.0000,8552.1792
F27,80.9489,15.7330,15.7330,15.8670,4.0000,7512.0000,53179.5922
F28,80.9485,0.6960,0.7630,0.8300,1.0000,486.0000,1513747.9826
F29,80.9510,17.9840,18.0170,18.0670,1.0000,44.0000,14097.3849
F30,80.9736,0.9630,0.9960,1.0460,1.0000,10.0000,6957.8083
F31,81.0702,9.6980,9.8650,9.8150,11.0000,11164.0000,61050.6203
